CommonName,NDF-RT,ICD11Code,Drugs
Catatonia,['N0000146205'],6,['LORAZEPAM']
Catecholaminergic polymorphic ventricular tachycardia,['N0000147996'],11,['PROPAFENONE']
Central precocious puberty,['N0000147889'],9,['LEUPROLIDE']
Centriacinar emphysema,['N0000182968'],12,['INDACATEROL']
Cerebral edema,"['N0000146229', 'N0000146273']",8,"['PREDNISONE', 'DEXAMETHASONE']"
Cerebral palsy,['N0000006613'],8,['BACLOFEN']
Cerebrovascular accident,"['N0000147602', 'N0000147662', 'N0000148057', 'N0000148200', 'N0000148603', 'N0000148627', 'N0000021914', 'N0000022046', 'N0000145909', 'N0000145918', 'N0000147886', 'N0000148255', 'N0000148401', 'N0000148821']",8,"['LOVASTATIN', 'RAMIPRIL', 'WARFARIN', 'SIMVASTATIN', 'CANDESARTAN', 'PERINDOPRIL', 'FLUVASTATIN', 'ATORVASTATIN', 'NITROGLYCERIN', 'ASPIRIN', 'LABETALOL', 'PRAVASTATIN', 'LOSARTAN', 'ROSUVASTATIN']"
Cervical ripening procedure,['N0000148137'],22,['ISOSORBIDE MONONITRATE']
Cesarean section,['N0000146194'],18,['METRONIDAZOLE']
Chancroid,"['N0000146102', 'N0000146109', 'N0000147503']",1,"['SULFAMETHOXAZOLE', 'DOXYCYCLINE', 'CIPROFLOXACIN']"
Chemically induced hyperlipidemia,"['N0000022046', 'N0000148554']",X,"['ATORVASTATIN', 'FENOFIBRATE']"
Chemodissolution of bile duct stone,['N0000147507'],22,['URSODIOL']
Chilblains,['N0000146717'],13,['NIFEDIPINE']
Chlamydia trachomatis infection,['N0000007444'],1,['MINOCYCLINE']
Chlamydial infection,['N0000146109'],1,['DOXYCYCLINE']
Cholera,"['N0000146102', 'N0000146109', 'N0000147503', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'DOXYCYCLINE', 'CIPROFLOXACIN', 'TRIMETHOPRIM']"
Cholestasis of parenteral nutrition,['N0000147507'],19,['URSODIOL']
Cholestatic jaundice syndrome,['N0000147507'],4,['URSODIOL']
Chordoma of clivus,['N0000148833'],2,['CETUXIMAB']
Chorea,['N0000146226'],1,['CARBAMAZEPINE']
Choriocarcinoma,['N0000148055'],7,['VINBLASTINE']
Chorioretinitis,['N0000146229'],9,['PREDNISONE']
Choroiditis,['N0000146229'],1,['PREDNISONE']
Chronic alcoholism in remission,['N0000148859'],7,['ACAMPROSATE']
Chronic atrial fibrillation,"['N0000147996', 'N0000148010']",1,"['PROPAFENONE', 'QUINIDINE']"
Chronic atrial flutter,"['N0000147996', 'N0000148010']",1,"['PROPAFENONE', 'QUINIDINE']"
"Chronic bipolar I disorder, most recent episode depressed",['N0000148387'],21,['NEFAZODONE']
"Chronic bipolar II disorder, most recent episode major depressive",['N0000148387'],6,['NEFAZODONE']
Chronic bullous emphysema,['N0000182968'],12,['INDACATEROL']
Chronic depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Chronic depressive personality disorder,"['N0000148387', 'N0000148003', 'N0000148047']",6,"['NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Chronic diarrhea,['N0000147893'],8,['LOPERAMIDE']
Chronic eosinophilic leukemia,['N0000148698'],12,['IMATINIB']
Chronic graft-versus-host disease,['N0000148832'],4,['MYCOPHENOLIC ACID']
Chronic heart failure,"['N0000021914', 'N0000022046', 'N0000148200', 'N0000148255']",11,"['FLUVASTATIN', 'ATORVASTATIN', 'SIMVASTATIN', 'PRAVASTATIN']"
Chronic hepatitis C,"['N0000182738', 'N0000148697']",1,"['BOCEPREVIR', 'PEGINTERFERON ALFA-2B']"
Chronic idiopathic urticaria,['N0000147828'],X,['DOXEPIN']
Chronic intractable pain,['N0000006613'],8,['BACLOFEN']
Chronic kidney disease due to type 2 diabetes mellitus,"['N0000145994', 'N0000147537', 'N0000147662', 'N0000147814', 'N0000147835', 'N0000148333', 'N0000148336', 'N0000148401', 'N0000148456', 'N0000148533', 'N0000148603']",5,"['CAPTOPRIL', 'LISINOPRIL', 'RAMIPRIL', 'DILTIAZEM', 'ENALAPRIL', 'AMLODIPINE', 'BENAZEPRIL', 'LOSARTAN', 'VALSARTAN', 'IRBESARTAN', 'CANDESARTAN']"
"Chronic lymphoid leukemia, disease","['N0000148056', 'N0000148560', 'N0000146229', 'N0000146452', 'N0000147072', 'N0000148244']",13,"['VINCRISTINE', 'RITUXIMAB', 'PREDNISONE', 'CYCLOPHOSPHAMIDE', 'CHLORAMBUCIL', 'FLUDARABINE']"
"Chronic major depressive disorder, single episode","['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Chronic myeloid leukemia,"['N0000146452', 'N0000147066', 'N0000147076', 'N0000147079', 'N0000147796', 'N0000148698', 'N0000176124']",2,"['CYCLOPHOSPHAMIDE', 'MELPHALAN', 'BUSULFAN', 'MERCAPTOPURINE', 'DAUNORUBICIN', 'IMATINIB', 'NILOTINIB']"
Chronic nonsuppurative thyroiditis,['N0000146229'],18,['PREDNISONE']
Chronic obstructive pulmonary disease,"['N0000146229', 'N0000147880', 'N0000146334', 'N0000146409', 'N0000148093', 'N0000148384', 'N0000148706', 'N0000148830', 'N0000147099', 'N0000021960', 'N0000182968']",12,"['PREDNISONE', 'IPRATROPIUM', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'CLARITHROMYCIN', 'BUDESONIDE', 'FORMOTEROL', 'TIOTROPIUM', 'ALBUTEROL', 'SALMETEROL', 'INDACATEROL']"
Chronic obstructive pulmonary disease with acute lower respiratory infection,['N0000182968'],12,['INDACATEROL']
Chronic pain,"['N0000006456', 'N0000021990', 'N0000145914', 'N0000147049', 'N0000147779', 'N0000147800', 'N0000147909', 'N0000147946']",8,"['HYDROCODONE', 'TRAMADOL', 'MORPHINE', 'FENTANYL', 'CLOMIPRAMINE', 'DESIPRAMINE', 'METHADONE', 'NORTRIPTYLINE']"
Chronic prostatitis,"['N0000148025', 'N0000146103']",13,"['TERAZOSIN', 'TRIMETHOPRIM']"
Chronic prurigo,['N0000147828'],14,['DOXEPIN']
Chronic purulent otitis media,"['N0000146102', 'N0000146103']",10,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Chronic recurrent major depressive disorder,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Chronic renal failure,['N0000145995'],12,['HYDROCHLOROTHIAZIDE']
Chronic schizophrenia,['N0000146801'],6,['PIMOZIDE']
Chronic type B viral hepatitis,"['N0000148716', 'N0000178330', 'N0000148813']",1,"['TENOFOVIR', 'PEGINTERFERON ALFA-2A', 'EMTRICITABINE']"
Chronic urticaria,['N0000147828'],14,['DOXEPIN']
Circumstances interfere with sleep,['N0000147828'],24,['DOXEPIN']
Cirrhosis of liver,['N0000145995'],13,['HYDROCHLOROTHIAZIDE']
Clear cell carcinoma of kidney,['N0000180309'],2,['PAZOPANIB']
Clostridium difficile colitis,"['N0000146194', 'N0000148052', 'N0000148858']",1,"['METRONIDAZOLE', 'VANCOMYCIN', 'RIFAXIMIN']"
Cluster headache,"['N0000148054', 'N0000148514']",8,"['VERAPAMIL', 'SUMATRIPTAN']"
Colitis,"['N0000146194', 'N0000146229', 'N0000146249', 'N0000146273', 'N0000146334', 'N0000147079', 'N0000147916', 'N0000148580']",1,"['METRONIDAZOLE', 'PREDNISONE', 'SULFASALAZINE', 'DEXAMETHASONE', 'PREDNISOLONE', 'MERCAPTOPURINE', 'METHOTREXATE', 'INFLIXIMAB']"
Collagen disease,"['N0000146229', 'N0000146273', 'N0000146334', 'N0000146409']",13,"['PREDNISONE', 'DEXAMETHASONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Combativeness,['N0000146214'],21,['CHLORPROMAZINE']
Comedonal acne,['N0000147467'],21,['DAPSONE']
Comedone,['N0000147467'],24,['DAPSONE']
Common cold,['N0000147816'],1,['DIPHENHYDRAMINE']
Community acquired pneumonia,['N0000148093'],12,['CLARITHROMYCIN']
Community-acquired methicillin-resistant Staphylococcus aureus infection,"['N0000146102', 'N0000146103']",3,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Complex posttraumatic stress disorder,['N0000147828'],6,['DOXEPIN']
Conduct disorder,['N0000146207'],11,['CLONIDINE']
"Conduct disorder, adolescent-onset type",['N0000148786'],6,['ARIPIPRAZOLE']
"Conduct disorder, childhood-onset type",['N0000147892'],6,['LITHIUM']
Conduction disorder of the heart,"['N0000146388', 'N0000146784', 'N0000147701', 'N0000147814', 'N0000147924', 'N0000148001', 'N0000148054', 'N0000148343']",9,"['DIGOXIN', 'ATENOLOL', 'AMIODARONE', 'DILTIAZEM', 'METOPROLOL', 'PROPRANOLOL', 'VERAPAMIL', 'ENOXAPARIN']"
Congenital adrenal hyperplasia,['N0000146229'],X,['PREDNISONE']
Congenital dilatation of lobar intrahepatic bile duct,['N0000147507'],X,['URSODIOL']
Congestive heart failure,"['N0000021928', 'N0000145909', 'N0000146183', 'N0000146784', 'N0000147699', 'N0000147869', 'N0000147924', 'N0000148116', 'N0000176131']",11,"['BISOPROLOL', 'NITROGLYCERIN', 'ISOSORBIDE DINITRATE', 'ATENOLOL', 'AMILORIDE', 'HYDRALAZINE', 'METOPROLOL', 'FELODIPINE', 'NEBIVOLOL']"
Constipation,"['N0000145804', 'N0000147823', 'N0000021093']",6,"['UNKNOWN DRUG', 'DOCUSATE', 'ELECTROLYTES/PEG-3350']"
Contact dermatitis,['N0000146229'],14,['PREDNISONE']
Corneal abrasion,['N0000147806'],X,['DICLOFENAC']
Corneal graft rejection,['N0000148372'],24,['TACROLIMUS']
Corneal ulcer,['N0000146229'],13,['PREDNISONE']
Coronary arteriosclerosis,"['N0000021914', 'N0000147602', 'N0000148054', 'N0000148057', 'N0000148255', 'N0000148554', 'N0000148627']",11,"['FLUVASTATIN', 'LOVASTATIN', 'VERAPAMIL', 'WARFARIN', 'PRAVASTATIN', 'FENOFIBRATE', 'PERINDOPRIL']"
Coronary artery bypass graft,"['N0000021914', 'N0000145918', 'N0000147602', 'N0000148200', 'N0000148255']",11,"['FLUVASTATIN', 'ASPIRIN', 'LOVASTATIN', 'SIMVASTATIN', 'PRAVASTATIN']"
Coronary artery stenosis,['N0000145918'],11,['ASPIRIN']
Coronary atherosclerosis,['N0000022046'],11,['ATORVASTATIN']
Cough,"['N0000145894', 'N0000147099', 'N0000146393']",1,"['CODEINE', 'ALBUTEROL', 'DEXTROMETHORPHAN']"
Cradle cap,['N0000021605'],X,['TERBINAFINE']
Crohn's disease,"['N0000005766', 'N0000146194', 'N0000146229', 'N0000146409', 'N0000147069', 'N0000147079', 'N0000147503', 'N0000148384', 'N0000148580', 'N0000148586', 'N0000148588', 'N0000148789', 'N0000148858', 'N0000148372', 'N0000147080']",13,"['MESALAMINE', 'METRONIDAZOLE', 'PREDNISONE', 'METHYLPREDNISOLONE', 'AZATHIOPRINE', 'MERCAPTOPURINE', 'CIPROFLOXACIN', 'BUDESONIDE', 'INFLIXIMAB', 'LEFLUNOMIDE', 'THALIDOMIDE', 'ADALIMUMAB', 'RIFAXIMIN', 'TACROLIMUS', 'THIOGUANINE']"
Crohn's disease in remission,"['N0000147916', 'N0000148384']",1,"['METHOTREXATE', 'BUDESONIDE']"
Crohn's disease of intestine,['N0000148384'],13,['BUDESONIDE']
Croup,['N0000148384'],21,['BUDESONIDE']
Cutaneous leishmaniasis,"['N0000146932', 'N0000147467']",1,"['RIFAMPIN', 'DAPSONE']"
Cutaneous sporotrichosis,['N0000021605'],1,['TERBINAFINE']
Cyclosporiasis,"['N0000146102', 'N0000146103']",1,"['SULFAMETHOXAZOLE', 'TRIMETHOPRIM']"
Cystic fibrosis,"['N0000006993', 'N0000147699', 'N0000021960', 'N0000185033']",12,"['IBUPROFEN', 'AMILORIDE', 'SALMETEROL', 'IVACAFTOR']"
Cytomegalovirus infection,['N0000148586'],19,['LEFLUNOMIDE']
Decreased estrogen level,"['N0000145989', 'N0000146729']",21,"['ESTRADIOL', 'ESTROGENS,CONJUGATED']"
Decreased lactation,['N0000147923'],21,['METOCLOPRAMIDE']
Deep venous thrombosis,"['N0000148343', 'N0000148057']",11,"['ENOXAPARIN', 'WARFARIN']"
Degenerative cervical spinal stenosis,['N0000146778'],21,['CARISOPRODOL']
Degenerative disorder of musculoskeletal system,"['N0000145898', 'N0000145918', 'N0000146273', 'N0000146409', 'N0000147149', 'N0000147806', 'N0000148596', 'N0000148649', 'N0000148860']",X,"['ACETAMINOPHEN', 'ASPIRIN', 'DEXAMETHASONE', 'METHYLPREDNISOLONE', 'NAPROXEN', 'DICLOFENAC', 'CELECOXIB', 'MELOXICAM', 'DULOXETINE']"
Degenerative lumbar spinal stenosis,['N0000146778'],21,['CARISOPRODOL']
Degenerative thoracic spinal stenosis,['N0000146778'],21,['CARISOPRODOL']
Delayed puberty,"['N0000006226', 'N0000148513']",5,"['TESTOSTERONE', 'LETROZOLE']"
Delirium,"['N0000022085', 'N0000146461', 'N0000148465']",6,"['QUETIAPINE', 'HALOPERIDOL', 'OLANZAPINE']"
Delusional disorder,['N0000147779'],6,['CLOMIPRAMINE']
Delusions of parasitosis,['N0000146801'],1,['PIMOZIDE']
Dementia,['N0000148691'],6,['GALANTAMINE']
Dementia associated with Parkinson's Disease,['N0000004713'],6,['DONEPEZIL']
Dementia of the Alzheimer type with behavioral disturbance,['N0000148691'],6,['GALANTAMINE']
Dementia with behavioral disturbance,['N0000004713'],6,['DONEPEZIL']
Depressed bipolar I disorder,"['N0000147852', 'N0000148387']",6,"['FLUOXETINE', 'NEFAZODONE']"
Depressed bipolar I disorder in full remission,['N0000148387'],6,['NEFAZODONE']
Depressed bipolar I disorder in partial remission,['N0000148387'],6,['NEFAZODONE']
Depressed bipolar I disorder in remission,['N0000148387'],6,['NEFAZODONE']
Depressive conduct disorder,['N0000147828'],6,['DOXEPIN']
Depressive disorder,"['N0000021906', 'N0000147702', 'N0000147920', 'N0000147946', 'N0000148390', 'N0000148449', 'N0000148583', 'N0000021981', 'N0000022085', 'N0000022289', 'N0000147738', 'N0000147739', 'N0000147779', 'N0000147800', 'N0000147852', 'N0000147875', 'N0000148039', 'N0000148257', 'N0000148335', 'N0000148786', 'N0000148860', 'N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",6,"['VENLAFAXINE', 'AMITRIPTYLINE', 'METHYLPHENIDATE', 'NORTRIPTYLINE', 'LAMOTRIGINE', 'MIRTAZAPINE', 'CITALOPRAM', 'FLUVOXAMINE', 'QUETIAPINE', 'ESCITALOPRAM', 'BUPROPION', 'BUSPIRONE', 'CLOMIPRAMINE', 'DESIPRAMINE', 'FLUOXETINE', 'IMIPRAMINE', 'TRAZODONE', 'SERTRALINE', 'PAROXETINE', 'ARIPIPRAZOLE', 'DULOXETINE', 'DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Depressive disorder caused by drug,['N0000148335'],6,['PAROXETINE']
Dermal mycosis,['N0000021605'],4,['TERBINAFINE']
Dermatitis herpetiformis,"['N0000146229', 'N0000147467']",14,"['PREDNISONE', 'DAPSONE']"
Dermatofibrosarcoma protuberans,['N0000148698'],14,['IMATINIB']
Dermatomyositis,"['N0000146229', 'N0000147069', 'N0000147916']",4,"['PREDNISONE', 'AZATHIOPRINE', 'METHOTREXATE']"
Diabetes mellitus,"['N0000021984', 'N0000146417', 'N0000146830', 'N0000148573', 'N0000148613', 'N0000148616', 'N0000146198']",5,"['METFORMIN', 'GLYBURIDE', 'GLIPIZIDE', 'REPAGLINIDE', 'ROSIGLITAZONE', 'PIOGLITAZONE', 'CHLORPROPAMIDE']"
Diabetes mellitus associated with cystic fibrosis,"['N0000148812', 'N0000146198']",5,"['INSULIN,ASPART PROTAMINE', 'CHLORPROPAMIDE']"
Diabetes mellitus associated with hormonal etiology,['N0000146198'],5,['CHLORPROPAMIDE']
Diabetes mellitus associated with pancreatic disease,['N0000146198'],5,['CHLORPROPAMIDE']
Diabetes mellitus associated with receptor abnormality,['N0000146198'],5,['CHLORPROPAMIDE']
Diabetes mellitus due to cystic fibrosis,['N0000146198'],5,['CHLORPROPAMIDE']
Diabetes mellitus induced by non-steroid drugs,['N0000146198'],5,['CHLORPROPAMIDE']
Diabetes mellitus without complication,['N0000146198'],5,['CHLORPROPAMIDE']
Diabetic ketoacidosis,['N0000148812'],14,"['INSULIN,ASPART PROTAMINE']"
Diabetic peripheral neuropathy,"['N0000023107', 'N0000148345', 'N0000148860']",8,"['PREGABALIN', 'GABAPENTIN', 'DULOXETINE']"
Diarrhea,"['N0000147818', 'N0000147893']",13,"['DIPHENOXYLATE', 'LOPERAMIDE']"
Diarrhea caused by drug,['N0000147893'],23,['LOPERAMIDE']
Diarrhea due to diabetes mellitus,['N0000146207'],5,['CLONIDINE']
Diffuse Lewy body disease,"['N0000004713', 'N0000148691']",8,"['DONEPEZIL', 'GALANTAMINE']"
Diffuse spasm of esophagus,['N0000146717'],13,['NIFEDIPINE']
Dilated cardiomyopathy,['N0000148505'],1,['CARVEDILOL']
Discoid lupus erythematosus,['N0000145980'],4,['TRIAMCINOLONE']
Disease caused by Adenovirus,['N0000147496'],1,['RIBAVIRIN']
Disease caused by rickettsiae,['N0000007444'],1,['MINOCYCLINE']
Disorder of cardiovascular system,"['N0000022046', 'N0000145918', 'N0000146784', 'N0000148821']",X,"['ATORVASTATIN', 'ASPIRIN', 'ATENOLOL', 'ROSUVASTATIN']"
Disorder of coronary artery,"['N0000022101', 'N0000145918', 'N0000165034', 'N0000021914', 'N0000022046', 'N0000145909', 'N0000145994', 'N0000146784', 'N0000147537', 'N0000147662', 'N0000147886', 'N0000147924', 'N0000148054', 'N0000148200', 'N0000148255', 'N0000148333', 'N0000148456', 'N0000148505', 'N0000148603', 'N0000148627', 'N0000148821']",11,"['CLOPIDOGREL', 'ASPIRIN', 'OMEGA-3-ACID ETHYL ESTERS 1000MG CAP,ORAL [VA PRODUCT]', 'FLUVASTATIN', 'ATORVASTATIN', 'NITROGLYCERIN', 'CAPTOPRIL', 'ATENOLOL', 'LISINOPRIL', 'RAMIPRIL', 'LABETALOL', 'METOPROLOL', 'VERAPAMIL', 'SIMVASTATIN', 'PRAVASTATIN', 'AMLODIPINE', 'VALSARTAN', 'CARVEDILOL', 'CANDESARTAN', 'PERINDOPRIL', 'ROSUVASTATIN']"
Disorder of ejaculation,['N0000147875'],9,['IMIPRAMINE']
Disorder of endocrine system,"['N0000145980', 'N0000146229', 'N0000146334', 'N0000146409']",X,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Disorder of eye region,"['N0000145980', 'N0000146229', 'N0000146334', 'N0000146409']",9,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Disorder of gastrointestinal tract,"['N0000145980', 'N0000146229', 'N0000146334']",1,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE']"
Disorder of joint of spine,['N0000145918'],9,['ASPIRIN']
Disorder of lipoprotein AND/OR lipid metabolism,['N0000148821'],5,['ROSUVASTATIN']
Disorder of musculoskeletal system,['N0000146778'],X,['CARISOPRODOL']
Disorder of nervous system,['N0000145980'],8,['TRIAMCINOLONE']
Disorder of respiratory system,"['N0000145980', 'N0000146229', 'N0000146334', 'N0000146409']",X,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Disorder of skin,"['N0000145980', 'N0000146229', 'N0000146334', 'N0000146409', 'N0000148122']",21,"['TRIAMCINOLONE', 'PREDNISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE', 'FLUTICASONE PROPIONATE']"
Disseminated infection caused by Mycobacterium avium-intracellulare group,"['N0000147838', 'N0000148093']",1,"['ETHAMBUTOL', 'CLARITHROMYCIN']"
Drug-induced diabetes mellitus,['N0000146198'],5,['CHLORPROPAMIDE']
Drug-induced gastrointestinal disturbance,"['N0000147569', 'N0000148654']",X,"['OMEPRAZOLE', 'PANTOPRAZOLE']"
Drug-induced osteoporosis,['N0000148414'],4,['ALENDRONATE']
Duodenitis,['N0000148012'],13,['RANITIDINE']
Dyslipidemia,"['N0000022046', 'N0000147602', 'N0000147784', 'N0000148200', 'N0000148255', 'N0000148554', 'N0000148785', 'N0000148821']",16,"['ATORVASTATIN', 'LOVASTATIN', 'COLESTIPOL', 'SIMVASTATIN', 'PRAVASTATIN', 'FENOFIBRATE', 'EZETIMIBE', 'ROSUVASTATIN']"
Dysmenorrhea,"['N0000145909', 'N0000146366', 'N0000147399']",14,"['NITROGLYCERIN', 'ETHINYL ESTRADIOL', 'FLURBIPROFEN']"
Dyspareunia,"['N0000145989', 'N0000146729']",16,"['ESTRADIOL', 'ESTROGENS,CONJUGATED']"
Dyspnea,['N0000145914'],16,['MORPHINE']
Dysthymia,"['N0000021906', 'N0000147852', 'N0000148257', 'N0000148449', 'N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",12,"['VENLAFAXINE', 'FLUOXETINE', 'SERTRALINE', 'MIRTAZAPINE', 'DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Early onset dysthymia,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",1,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Eating disorder,"['N0000021981', 'N0000022300', 'N0000147852', 'N0000147875', 'N0000147946', 'N0000148257', 'N0000148465', 'N0000148583']",6,"['FLUVOXAMINE', 'ATOMOXETINE', 'FLUOXETINE', 'IMIPRAMINE', 'NORTRIPTYLINE', 'SERTRALINE', 'OLANZAPINE', 'CITALOPRAM']"
Ectopic atrial beats,['N0000147924'],18,['METOPROLOL']
Ectopic pregnancy,['N0000147916'],18,['METHOTREXATE']
Edema,"['N0000145995', 'N0000146155', 'N0000146188', 'N0000146234', 'N0000146240', 'N0000146253', 'N0000147699', 'N0000148359']",11,"['HYDROCHLOROTHIAZIDE', 'BUMETANIDE', 'FUROSEMIDE', 'SPIRONOLACTONE', 'CHLORTHALIDONE', 'TRIAMTERENE', 'AMILORIDE', 'TORSEMIDE']"
Edema of larynx,['N0000146409'],2,['METHYLPREDNISOLONE']
Elective mutism,['N0000147852'],6,['FLUOXETINE']
Encephalitis,['N0000148052'],1,['VANCOMYCIN']
End stage chronic obstructive pulmonary disease,['N0000182968'],12,['INDACATEROL']
Endocrine pancreas tumor finding,['N0000171744'],X,['SUNITINIB']
Endogenous depression,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Endogenous depression - recurrent,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Endogenous depression first episode,"['N0000147828', 'N0000148387', 'N0000148003', 'N0000148047']",19,"['DOXEPIN', 'NEFAZODONE', 'PROTRIPTYLINE', 'TRIMIPRAMINE']"
Endometrial carcinoma,"['N0000146476', 'N0000146478', 'N0000147066', 'N0000147829', 'N0000147899']",2,"['CISPLATIN', 'ETOPOSIDE', 'MELPHALAN', 'DOXORUBICIN', 'MEDROXYPROGESTERONE']"
Endometrial hyperplasia,"['N0000146370', 'N0000147899']",16,"['LEVONORGESTREL', 'MEDROXYPROGESTERONE']"
Endometriosis (clinical),"['N0000146366', 'N0000146370', 'N0000146818', 'N0000147628', 'N0000147889', 'N0000147899']",16,"['ETHINYL ESTRADIOL', 'LEVONORGESTREL', 'NORETHINDRONE', 'GOSERELIN ACETATE', 'LEUPROLIDE', 'MEDROXYPROGESTERONE']"
Endometriosis of uterus,"['N0000147889', 'N0000148513']",16,"['LEUPROLIDE', 'LETROZOLE']"
Endotracheal respiratory assistance,['N0000145914'],21,['MORPHINE']
Environmental allergy,"['N0000022010', 'N0000022047', 'N0000022057', 'N0000146409', 'N0000147816', 'N0000147931', 'N0000148306', 'N0000148729']",X,"['CETIRIZINE', 'AZELASTINE', 'FEXOFENADINE', 'METHYLPREDNISOLONE', 'DIPHENHYDRAMINE', 'MOMETASONE', 'LORATADINE', 'DESLORATADINE']"
Eosinophilic nonallergic rhinitis,['N0000148306'],19,['LORATADINE']
Epicondylitis,"['N0000145980', 'N0000146229']",9,"['TRIAMCINOLONE', 'PREDNISONE']"
Epidermal growth factor receptor positive non-small cell lung cancer,['N0000148833'],19,['CETUXIMAB']
Epididymitis,"['N0000146109', 'N0000147503']",16,"['DOXYCYCLINE', 'CIPROFLOXACIN']"
Epilepsy,"['N0000146226', 'N0000176077']",8,"['CARBAMAZEPINE', 'CLOBAZAM']"
Epileptic seizure,['N0000176077'],8,['CLOBAZAM']
Episodic idiopathic urticaria,['N0000147828'],X,['DOXEPIN']
Epithelial tumor of ovary,['N0000148056'],14,['VINCRISTINE']
Erosive esophagitis,"['N0000147569', 'N0000148012', 'N0000148407', 'N0000148654', 'N0000148700', 'N0000178337']",13,"['OMEPRAZOLE', 'RANITIDINE', 'LANSOPRAZOLE', 'PANTOPRAZOLE', 'ESOMEPRAZOLE', 'DEXLANSOPRAZOLE']"
Erythema elevatum diutinum,['N0000147467'],14,['DAPSONE']
Erythema multiforme,['N0000147069'],14,['AZATHIOPRINE']
Erythroderma,['N0000146229'],14,['PREDNISONE']
Esophageal varices,"['N0000148001', 'N0000148137', 'N0000148505']",13,"['PROPRANOLOL', 'ISOSORBIDE MONONITRATE', 'CARVEDILOL']"
Esophagitis,['N0000146320'],13,['FAMOTIDINE']
Essential hypertension,"['N0000147869', 'N0000148603']",11,"['HYDRALAZINE', 'CANDESARTAN']"
Essential thrombocythemia,"['N0000147076', 'N0000148697']",3,"['BUSULFAN', 'PEGINTERFERON ALFA-2B']"
Essential tremor,"['N0000146152', 'N0000147924', 'N0000148001']",5,"['CLONAZEPAM', 'METOPROLOL', 'PROPRANOLOL']"
Evans syndrome,['N0000148560'],14,['RITUXIMAB']
Ewing's sarcoma of bone,"['N0000022032', 'N0000022036', 'N0000146452', 'N0000146478', 'N0000147598', 'N0000147829', 'N0000148056', 'N0000148441']",20,"['IRINOTECAN', 'GEMCITABINE', 'CYCLOPHOSPHAMIDE', 'ETOPOSIDE', 'CARBOPLATIN', 'DOXORUBICIN', 'VINCRISTINE', 'DOCETAXEL']"
Exacerbation of multiple sclerosis,"['N0000145980', 'N0000146229', 'N0000146273', 'N0000146291', 'N0000146334', 'N0000146409']",8,"['TRIAMCINOLONE', 'PREDNISONE', 'DEXAMETHASONE', 'HYDROCORTISONE', 'PREDNISOLONE', 'METHYLPREDNISOLONE']"
Excessive cerumen in ear canal,['N0000147823'],10,['DOCUSATE']
Excessive day and night-time sleepiness,['N0000148602'],18,['MODAFINIL']
Excessive salivation,['N0000147687'],X,['ATROPINE']
Excision of colon and rectum,['N0000147893'],2,['LOPERAMIDE']
Exercise-induced asthma,"['N0000022122', 'N0000148706', 'N0000147099']",12,"['MONTELUKAST', 'FORMOTEROL', 'ALBUTEROL']"
Exophthalmos due to thyroid eye disease,['N0000146229'],1,['PREDNISONE']
Eye infection,['N0000147503'],1,['CIPROFLOXACIN']
Falciparum malaria,['N0000146933'],1,['QUININE SULFATE']
Familial Mediterranean fever,['N0000145804'],4,['UNKNOWN DRUG']
