NDF-RT,SNOMED,CommonName,Score,ICD11Code,SpecificMatch,BroadName
N0000146151,49049000,Parkinson's disease,76.47058824,1,Certain infectious or parasitic diseases,Carrion disease
N0000146152,568005,Tic disorder,96,8,Diseases of the nervous system,Tic disorders
N0000146152,13746004,Bipolar disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Bipolar type I disorder
N0000146152,25501002,Social phobia,71.42857143,6,"Mental, behavioural or neurodevelopmental disorders",Specific phobia
N0000146152,32914008,Restless legs,100,7,Sleep-wake disorders,Restless legs syndrome
N0000146152,80495009,Sleep walking disorder,80.95238095,7,Sleep-wake disorders,Sleep-wake disorders
N0000146152,91175000,Seizure,100,8,Diseases of the nervous system,Seizure due to acute causes
N0000146152,371631005,Panic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000146152,415238003,REM sleep behavior disorder,98.18181818,7,Sleep-wake disorders,REM sleep behaviour disorder
N0000146152,609558009,Essential tremor,72,5,"Endocrine, nutritional or metabolic diseases",Essential fatty acid deficiency
N0000146155,267038008,Edema,62.5,11,Diseases of the circulatory system,Lymphoedema
N0000146166,23986001,Glaucoma,100,9,Diseases of the visual system,Glaucoma or glaucoma suspect
N0000146166,93870000,Malignant neoplasm of liver,82.14285714,2,Neoplasms,Malignant neoplasms of breast
N0000146166,93934004,Primary malignant neoplasm of ovary,82.92682927,2,Neoplasms,Benign neoplasm of ovary
N0000146166,109843000,Hepatoblastoma,64.51612903,13,Diseases of the digestive system,Parastomal hernia
N0000146166,187692001,Malignant tumor of nasopharynx,69.23076923,X,Extension Codes,Malignant tumours
N0000146166,201101007,Actinic keratosis,100,14,Diseases of the skin,Actinic keratosis and other discrete epidermal dysplasias
N0000146166,232016005,Proliferative vitreoretinopathy,61.01694915,2,Neoplasms,Myeloproliferative neoplasms
N0000146166,232245002,Granular myringitis,76.92307692,10,Diseases of the ear or mastoid process,Acute myringitis
N0000146166,254656002,Squamous cell carcinoma in situ of skin,100,2,Neoplasms,Carcinoma in situ of skin
N0000146166,254662007,Keratoacanthoma,60.86956522,1,Certain infectious or parasitic diseases,Trachoma
N0000146166,254935002,Intracranial tumor,81.08108108,22,"Injury, poisoning or certain other consequences of external causes",Intracranial injury
N0000146166,255046005,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146166,255056009,Malignant tumor of head and neck,100,X,Extension Codes,Head and neck
N0000146166,266113007,Genital warts,100,1,Certain infectious or parasitic diseases,Genital warts
N0000146166,274134003,Leukoplakia,66.66666667,X,Extension Codes,Leukaemias
N0000146166,310504009,Primary malignant neoplasm of unknown site,88.17204301,2,Neoplasms,"Malignant neoplasm, primary site unknown, so stated"
N0000146166,363349007,Malignant tumor of stomach,71.42857143,X,Extension Codes,"Odontogenic tumours, malignant"
N0000146166,363354003,Malignant tumor of cervix,71.69811321,X,Extension Codes,"Mast cell tumours, malignant"
N0000146166,363358000,Malignant tumor of lung,75,X,Extension Codes,Malignant tumours
N0000146166,363367000,Malignant tumor of vulva,85.71428571,16,Diseases of the genitourinary system,Premalignant or malignant disorders of the vulva
N0000146166,363402007,Malignant tumor of esophagus,70.1754386,2,Neoplasms,Malignant neoplasms of breast
N0000146166,363415003,Malignant tumor of biliary tract,72,2,Neoplasms,Malignant neoplasms of urinary tract
N0000146166,363434003,Malignant tumor of thymus,71.69811321,X,Extension Codes,"Mast cell tumours, malignant"
N0000146166,363445000,Malignant tumor of vagina,71.42857143,X,Extension Codes,Malignant tumours
N0000146166,363490009,Malignant tumor of anus,75,X,Extension Codes,Malignant tumours
N0000146166,363510005,Malignant tumor of large intestine,85.71428571,13,Diseases of the digestive system,Polyp of large intestine
N0000146166,371964008,Malignant neoplasm of adrenal cortex,80,2,Neoplasms,Malignant neoplasms of breast
N0000146166,372106005,Carcinoma of penis,100,2,Neoplasms,Carcinoma in situ of penis
N0000146166,372130007,Malignant neoplasm of skin,98.11320755,2,Neoplasms,Malignant neoplasms of skin
N0000146166,372142002,Carcinoma of pancreas,81.48148148,13,Diseases of the digestive system,Cyst of pancreas
N0000146166,398768004,Queyrat's erythroplasia,56.52173913,2,Neoplasms,Refractory neutropaenia
N0000146166,399326009,Malignant neoplasm of urinary bladder,79.45205479,2,Neoplasms,Malignant neoplasms of urinary tract
N0000146166,403914000,Superficial basal cell carcinoma,100,X,Extension Codes,Superficial
N0000146183,19242006,Pulmonary edema,96.77419355,12,Diseases of the respiratory system,Pulmonary oedema
N0000146183,22298006,Myocardial infarction,100,11,Diseases of the circulatory system,Acute myocardial infarction
N0000146183,30037006,Anal fissure,78.26086957,13,Diseases of the digestive system,Lip fissure
N0000146183,42343007,Congestive heart failure,100,11,Diseases of the circulatory system,Heart failure
N0000146183,45067001,Spastic disorder of smooth muscle segment of esophagus,72.72727273,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000146183,70995007,Pulmonary hypertension,100,11,Diseases of the circulatory system,Pulmonary hypertension
N0000146183,74474003,Gastrointestinal hemorrhage,80,X,Extension Codes,Gastrointestinal devices
N0000146183,194828000,Angina pectoris,66.66666667,21,"Symptoms, signs or clinical findings, not elsewhere classified",Precordial pain
N0000146183,233823002,Silent myocardial ischemia,74.62686567,19,Certain conditions originating in the perinatal period,Transient myocardial ischaemia of newborn
N0000146183,233845001,Cardiac syndrome X,76.19047619,4,Diseases of the immune system,Good syndrome
N0000146183,371806006,Progressive angina,75.86206897,8,Diseases of the nervous system,Progressive focal atrophies
N0000146183,132721000119104,Hypertensive emergency,77.41935484,11,Diseases of the circulatory system,Hypertensive crisis
N0000146188,19242006,Pulmonary edema,96.77419355,12,Diseases of the respiratory system,Pulmonary oedema
N0000146188,52756005,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146188,67569000,Bronchopulmonary dysplasia of newborn,82.53968254,19,Certain conditions originating in the perinatal period,Bronchopulmonary dysplasia originating in the perinatal period
N0000146188,267038008,Edema,62.5,11,Diseases of the circulatory system,Lymphoedema
N0000146188,389026000,Ascites,75,X,Extension Codes,Parasites
N0000146188,311000119101,Non-allergic rhinitis,77.41935484,12,Diseases of the respiratory system,Non-allergic asthma
N0000146194,11466000,Cesarean section,61.53846154,18,"Pregnancy, childbirth or the puerperium",Single delivery by caesarean section
N0000146194,22399000,Puerperal endometritis,72,18,"Pregnancy, childbirth or the puerperium",Puerperal sepsis
N0000146194,33910007,Postoperative infection,100,X,Extension Codes,Postoperative
N0000146194,34000006,Crohn's disease,92.85714286,13,Diseases of the digestive system,Crohn disease
N0000146194,41565005,Periodontitis,100,13,Diseases of the digestive system,Periapical periodontitis
N0000146194,48252005,Infection by Entamoeba,64.28571429,3,Diseases of the blood or blood-forming organs,Infection of spleen
N0000146194,50563003,Seborrheic dermatitis,79.24528302,14,Diseases of the skin,Infantile seborrhoeic dermatitis
N0000146194,56335008,Infection by Trichomonas,64.28571429,3,Diseases of the blood or blood-forming organs,Infection of spleen
N0000146194,58265007,Giardiasis,100,1,Certain infectious or parasitic diseases,Giardiasis
N0000146194,75119003,Amebic liver abscess,89.65517241,13,Diseases of the digestive system,Abscess of liver
N0000146194,84619001,Nongonococcal urethritis,66.66666667,1,Certain infectious or parasitic diseases,Gonococcal pelviperitonitis
N0000146194,95883001,Bacterial meningitis,100,1,Certain infectious or parasitic diseases,Bacterial meningitis
N0000146194,111253001,Infection of bone,82.75862069,1,Certain infectious or parasitic diseases,Gonococcal infection of other sites
N0000146194,111922007,Infection by Fasciola,65,3,Diseases of the blood or blood-forming organs,Infection of spleen
N0000146194,198130006,Female pelvic inflammatory disease,100,16,Diseases of the genitourinary system,Postprocedural acute female pelvic inflammatory disease
N0000146194,200933006,Ocular rosacea,60,2,Neoplasms,Malignant neoplasms of eye or ocular adnexa
N0000146194,237266003,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146194,307759003,Helicobacter pylori gastrointestinal tract infection,80,X,Extension Codes,Gastrointestinal devices
N0000146194,363162000,Infectious disorder of joint,75,1,Certain infectious or parasitic diseases,Certain other disorders of infectious origin
N0000146194,387754006,Amebic dysentery,60.60606061,6,"Mental, behavioural or neurodevelopmental disorders",Amnestic disorder
N0000146194,398909004,Rosacea,53.33333333,1,Certain infectious or parasitic diseases,Trachoma
N0000146194,419760006,Bacterial vaginosis,71.79487179,1,Certain infectious or parasitic diseases,Bacterial meningitis
N0000146194,423451008,Infection caused by anaerobic bacteria,100,X,Extension Codes,Bacteria
N0000146194,423590009,Clostridium difficile colitis,63.41463415,1,Certain infectious or parasitic diseases,Intestinal infections due to Clostridioides difficile
N0000146205,24199005,Feeling agitated,68.57142857,21,"Symptoms, signs or clinical findings, not elsewhere classified",Plugged feeling ear
N0000146205,72641008,Sedation,66.66666667,21,"Symptoms, signs or clinical findings, not elsewhere classified",Perseveration
N0000146205,91175000,Seizure,100,8,Diseases of the nervous system,Seizure due to acute causes
N0000146205,191480000,Alcohol withdrawal,100,X,Extension Codes,Alcohol
N0000146205,230456007,Status epilepticus,100,8,Diseases of the nervous system,Status epilepticus
N0000146205,236084000,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146205,247917007,Catatonia,100,6,"Mental, behavioural or neurodevelopmental disorders",Catatonia
N0000146207,568005,Tic disorder,96,8,Diseases of the nervous system,Tic disorders
N0000146207,5158005,Gilles de la Tourette's syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000146207,37796009,Migraine,100,8,Diseases of the nervous system,Migraine
N0000146207,38205001,Diarrhea due to diabetes mellitus,100,5,"Endocrine, nutritional or metabolic diseases",Diabetes mellitus
N0000146207,56294008,Nicotine dependence,68.96551724,24,Factors influencing health status or contact with health services,Dependence on enabling machines or devices
N0000146207,66347000,Impulse control disorder,97.95918367,6,"Mental, behavioural or neurodevelopmental disorders",Impulse control disorders
N0000146207,76948002,Severe pain,70.58823529,1,Certain infectious or parasitic diseases,Severe dengue
N0000146207,87132004,Opioid withdrawal,76.47058824,21,"Symptoms, signs or clinical findings, not elsewhere classified",Social withdrawal
N0000146207,224962007,Hot sweats,58.33333333,4,Diseases of the immune system,Behçet disease
N0000146207,406506008,Attention deficit hyperactivity disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Attention deficit hyperactivity disorder
N0000146207,430909002,Conduct disorder,88.88888889,11,Diseases of the circulatory system,Conduction disorders
N0000146211,54200006,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146211,91175000,Seizure,100,8,Diseases of the nervous system,Seizure due to acute causes
N0000146211,127295002,Traumatic brain injury,84.21052632,22,"Injury, poisoning or certain other consequences of external causes",Traumatic injury to eyeball
N0000146214,16932000,Nausea and vomiting,68.42105263,19,Certain conditions originating in the perinatal period,Vomiting in newborn
N0000146214,58214004,Schizophrenia,100,6,"Mental, behavioural or neurodevelopmental disorders",Schizophrenia or other primary psychotic disorders
N0000146214,65958008,Hiccoughs,71.42857143,21,"Symptoms, signs or clinical findings, not elsewhere classified",Cough
N0000146214,69322001,Psychotic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Acute and transient psychotic disorder
N0000146214,234422006,Acute intermittent porphyria,61.01694915,6,"Mental, behavioural or neurodevelopmental disorders",Intermittent explosive disorder
N0000146214,609586001,Combativeness,63.63636364,21,"Symptoms, signs or clinical findings, not elsewhere classified",Tiredness
N0000146226,31681005,Trigeminal neuralgia,67.9245283,8,Diseases of the nervous system,Trigeminal autonomic cephalalgias
N0000146226,32914008,Restless legs,100,7,Sleep-wake disorders,Restless legs syndrome
N0000146226,43763009,Glossopharyngeal neuralgia,76.19047619,22,"Injury, poisoning or certain other consequences of external causes",Injury of glossopharyngeal nerve
N0000146226,47295007,Psychomotor agitation,81.81818182,21,"Symptoms, signs or clinical findings, not elsewhere classified",Psychomotor retardation
N0000146226,54200006,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146226,68569003,Manic bipolar I disorder,87.80487805,6,"Mental, behavioural or neurodevelopmental disorders",Bipolar type I disorder
N0000146226,69322001,Psychotic disorder,100,6,"Mental, behavioural or neurodevelopmental disorders",Acute and transient psychotic disorder
N0000146226,84757009,Epilepsy,100,8,Diseases of the nervous system,Epilepsy or seizures
N0000146226,128613002,Seizure disorder,72.72727273,6,"Mental, behavioural or neurodevelopmental disorders",Panic disorder
N0000146226,191480000,Alcohol withdrawal,100,X,Extension Codes,Alcohol
N0000146226,271700006,Chorea,100,1,Certain infectious or parasitic diseases,Rheumatic chorea
N0000146226,279058003,Neurogenic pain,69.23076923,4,Diseases of the immune system,Neutropenia
N0000146226,407675009,Focal onset impaired awareness epileptic seizure,76.47058824,8,Diseases of the nervous system,Focal unaware seizure
N0000146229,2032001,Cerebral edema,75,8,Diseases of the nervous system,Cerebral ischaemia
N0000146229,2897005,Immune thrombocytopenia,100,3,Diseases of the blood or blood-forming organs,Thrombocytopenia
N0000146229,3238004,Pericarditis,100,11,Diseases of the circulatory system,Other pericarditis as current complication following acute myocardial infarction
N0000146229,4740000,Herpes zoster,100,1,Certain infectious or parasitic diseases,Zoster
N0000146229,5888003,Keratitis,100,9,Diseases of the visual system,Infectious keratitis
N0000146229,8247009,Berylliosis,100,12,Diseases of the respiratory system,Berylliosis
N0000146229,9631008,Ankylosing spondylitis,57.77777778,4,Diseases of the immune system,Single organ vasculitis
N0000146229,10706006,Tuberculosis of central nervous system,100,1,Certain infectious or parasitic diseases,Tuberculosis
N0000146229,13645005,Chronic obstructive pulmonary disease,100,12,Diseases of the respiratory system,Chronic obstructive pulmonary disease
N0000146229,16553002,Choroiditis,66.66666667,1,Certain infectious or parasitic diseases,Chronic hepatitis D
N0000146229,17602002,Amyloidosis,100,5,"Endocrine, nutritional or metabolic diseases",Amyloidosis
N0000146229,24079001,Atopic dermatitis,74.07407407,14,Diseases of the skin,Dermatitis or eczema
N0000146229,30880003,Trabeculectomy ab externo,54.54545455,1,Certain infectious or parasitic diseases,Latent tuberculosis
N0000146229,31384009,Polymyositis,100,4,Diseases of the immune system,Polymyositis
N0000146229,31541009,Sarcoidosis,100,4,Diseases of the immune system,Sarcoidosis
N0000146229,31996006,Vasculitis,100,4,Diseases of the immune system,Vasculitis
N0000146229,32273002,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146229,33339001,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146229,34000006,Crohn's disease,92.85714286,13,Diseases of the digestive system,Crohn disease
N0000146229,37981002,Allergic bronchopulmonary aspergillosis,100,1,Certain infectious or parasitic diseases,Aspergillosis
N0000146229,38727009,Subacute thyroiditis,72.22222222,10,Diseases of the ear or mastoid process,Acute myringitis
N0000146229,39579001,Anaphylaxis,100,4,Diseases of the immune system,Anaphylaxis
N0000146229,40275004,Contact dermatitis,100,14,Diseases of the skin,Allergic contact dermatitis
N0000146229,46627006,Chorioretinitis,75.86206897,9,Diseases of the visual system,Neuroretinitis
N0000146229,47709007,Humoral hypercalcemia of malignancy,61.33333333,14,Diseases of the skin,Cutaneous markers of internal malignancy
N0000146229,48440001,Articular gout,78.26086957,2,Neoplasms,Neoplasms of uncertain behaviour of bone or articular cartilage
N0000146229,50043002,Disorder of respiratory system,100,X,Extension Codes,Respiratory system
N0000146229,50563003,Seborrheic dermatitis,79.24528302,14,Diseases of the skin,Infantile seborrhoeic dermatitis
N0000146229,50715003,Pure red cell aplasia,100,3,Diseases of the blood or blood-forming organs,Pure red cell aplasia
N0000146229,52254009,Nephrotic syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000146229,55342001,Neoplastic disease,100,3,Diseases of the blood or blood-forming organs,Anaemia in neoplastic disease
N0000146229,55464009,Systemic lupus erythematosus,100,4,Diseases of the immune system,Lupus erythematosus
N0000146229,61582004,Allergic rhinitis,100,12,Diseases of the respiratory system,Vasomotor or allergic rhinitis
N0000146229,64766004,Ulcerative colitis,100,13,Diseases of the digestive system,Ulcerative colitis
N0000146229,65172003,Pemphigus,100,14,Diseases of the skin,Pemphigus
N0000146229,65323003,Polymyalgia rheumatica,65.11627907,11,Diseases of the circulatory system,Rheumatic myocarditis
N0000146229,65363002,Otitis media,100,10,Diseases of the ear or mastoid process,Otitis media
N0000146229,66760008,Optic neuritis,83.87096774,10,Diseases of the ear or mastoid process,Acoustic neuritis
N0000146229,67801009,Tenosynovitis,59.25925926,10,Diseases of the ear or mastoid process,Otitis externa
N0000146229,69896004,Rheumatoid arthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Rheumatoid arthritis
N0000146229,72275000,Relapsing polychondritis,100,15,Diseases of the musculoskeletal system or connective tissue,Relapsing polychondritis
N0000146229,73442001,Stevens-Johnson syndrome,100,14,Diseases of the skin,Stevens-Johnson syndrome and toxic epidermal necrolysis due to drug
N0000146229,73583000,Epicondylitis,72,9,Diseases of the visual system,Episcleritis
N0000146229,77956009,Steinert myotonic dystrophy syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000146229,77971008,Iridocyclitis,62.06896552,11,Diseases of the circulatory system,Periendocarditis
N0000146229,81573002,Collagen disease,77.41935484,13,Diseases of the digestive system,Coeliac disease
N0000146229,82271004,Injury of head,100,22,"Injury, poisoning or certain other consequences of external causes",Superficial injury of head
N0000146229,83901003,Sjögren's syndrome,76.19047619,4,Diseases of the immune system,Good syndrome
N0000146229,84017003,Bursitis,66.66666667,12,Diseases of the respiratory system,Bronchitis
N0000146229,87513003,Herpes zoster ophthalmicus,100,1,Certain infectious or parasitic diseases,Zoster
N0000146229,90441002,Chronic nonsuppurative thyroiditis,66.66666667,18,"Pregnancy, childbirth or the puerperium",Postpartum thyroiditis
N0000146229,90739004,Thyrotoxicosis,71.42857143,3,Diseases of the blood or blood-forming organs,Thrombocytosis
N0000146229,91514001,Corneal ulcer,74.07407407,13,Diseases of the digestive system,Duodenal ulcer
N0000146229,91637004,Myasthenia gravis,100,8,Diseases of the nervous system,Myasthenia gravis or certain specified neuromuscular junction disorders
N0000146229,91855006,Acute leukemia,66.66666667,X,Extension Codes,Leukaemias
N0000146229,93143009,Leukemia,88.88888889,X,Extension Codes,Leukaemias
N0000146229,95320005,Disorder of skin,100,21,"Symptoms, signs or clinical findings, not elsewhere classified",Chronic skin disorder of uncertain or unspecified nature
N0000146229,109989006,Multiple myeloma,66.66666667,2,Neoplasms,"Malignant neoplasms of independent, multiple primary sites"
N0000146229,111196000,Dermatitis herpetiformis,68.96551724,14,Diseases of the skin,Nummular dermatitis
N0000146229,118599009,Hodgkin's disease (clinical),70,1,Certain infectious or parasitic diseases,Ebola disease
N0000146229,118600007,Malignant lymphoma,76.19047619,X,Extension Codes,"Mesonephromas, malignant"
N0000146229,118601006,Non-Hodgkin's lymphoma (clinical),77.96610169,2,Neoplasms,Classical Hodgkin lymphoma
N0000146229,118618005,Mycosis fungoides (clinical),56.52173913,1,Certain infectious or parasitic diseases,Coccidioidomycosis
N0000146229,119292006,Disorder of gastrointestinal tract,84.74576271,1,Certain infectious or parasitic diseases,Candidosis of gastrointestinal tract
N0000146229,128473001,Uveitis,100,9,Diseases of the visual system,Anterior uveitis
N0000146229,129458007,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146229,154283005,Pulmonary tuberculosis,100,1,Certain infectious or parasitic diseases,Tuberculosis
N0000146229,155597006,Aspiration pneumonitis,100,12,Diseases of the respiratory system,Pneumonitis
N0000146229,190818004,Waldenström macroglobulinemia,65.2173913,4,Diseases of the immune system,Cryoglobulinaemia
N0000146229,192929006,Exacerbation of multiple sclerosis,100,8,Diseases of the nervous system,Multiple sclerosis
N0000146229,193093009,Bell's palsy,61.53846154,8,Diseases of the nervous system,Cerebral palsy
N0000146229,195951007,Acute exacerbation of chronic obstructive pulmonary disease,100,12,Diseases of the respiratory system,Chronic obstructive pulmonary disease
N0000146229,195967001,Asthma,100,12,Diseases of the respiratory system,Asthma
N0000146229,213148006,Transplanted organ rejection,88,22,"Injury, poisoning or certain other consequences of external causes",Failure or rejection of transplanted organs or tissues
N0000146229,233702002,Summer-type hypersensitivity pneumonitis,100,12,Diseases of the respiratory system,Pneumonitis
N0000146229,233933006,Cardiac transplant rejection,78.26086957,11,Diseases of the circulatory system,Cardiac transplant associated coronary allograft vasculopathy
N0000146229,234375006,Transient erythroblastopenia of childhood,67.56756757,2,Neoplasms,Refractory cytopenia of childhood
N0000146229,234646005,Graft versus host disease,76,4,Diseases of the immune system,Graft-versus-host disease
N0000146229,236084000,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146229,236504007,Henoch-Schönlein nephritis,53.33333333,1,Certain infectious or parasitic diseases,Chronic hepatitis C
N0000146229,236570004,Renal transplant rejection,62.33766234,22,"Injury, poisoning or certain other consequences of external causes",Failure or rejection of transplanted organs or tissues
N0000146229,237751000,Congenital adrenal hyperplasia,100,X,Extension Codes,Congenital
N0000146229,237785004,Hypoadrenalism,70.96774194,5,"Endocrine, nutritional or metabolic diseases",Hypoaldosteronism
N0000146229,240867002,Invasive trichinosis,71.42857143,1,Certain infectious or parasitic diseases,Invasive aspergillosis
N0000146229,254838004,Carcinoma of breast,100,2,Neoplasms,Carcinoma in situ of breast
N0000146229,254900004,Carcinoma of prostate,72.72727273,2,Neoplasms,Unspecified carcinoma of unspecified site
N0000146229,254935002,Intracranial tumor,81.08108108,22,"Injury, poisoning or certain other consequences of external causes",Intracranial injury
N0000146229,276177000,Thyroid eye disease,70,1,Certain infectious or parasitic diseases,Ebola disease
N0000146229,307651005,Primary myelofibrosis,73.68421053,1,Certain infectious or parasitic diseases,Primary yaws
N0000146229,312591002,Acute rheumatic heart disease,86.20689655,11,Diseases of the circulatory system,Acute ischaemic heart disease
N0000146229,359789008,Takayasu's disease,70,1,Certain infectious or parasitic diseases,Ebola disease
N0000146229,362969004,Disorder of endocrine system,100,X,Extension Codes,Endocrine system
N0000146229,363179006,Inflammatory disorder of musculoskeletal system,100,X,Extension Codes,Musculoskeletal system
N0000146229,367542003,Pulmonary eosinophilia,100,4,Diseases of the immune system,Eosinophilia
N0000146229,371409005,Disorder of eye region,75.55555556,9,Diseases of the visual system,Disorders of refraction
N0000146229,386584007,Adrenal cortical hypofunction,73.23943662,5,"Endocrine, nutritional or metabolic diseases",Postprocedural adrenocortical hypofunction
N0000146229,386661006,Fever,100,1,Certain infectious or parasitic diseases,Typhoid fever
N0000146229,396230008,Dermatomyositis,100,4,Diseases of the immune system,Dermatomyositis
N0000146229,396275006,Osteoarthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Osteoarthritis
N0000146229,399269003,Arthropathy,83.33333333,15,Diseases of the musculoskeletal system or connective tissue,Arthropathies
N0000146229,399992009,Erythroderma,66.66666667,14,Diseases of the skin,Erythrodermas of infancy
N0000146229,400130008,Temporal arteritis,66.66666667,4,Diseases of the immune system,Giant cell arteritis
N0000146229,403608009,Serum sickness caused by drug,57.14285714,18,"Pregnancy, childbirth or the puerperium",Single delivery by caesarean hysterectomy
N0000146229,410692006,Anterior uveitis,100,9,Diseases of the visual system,Anterior uveitis
N0000146229,410795001,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146229,413603009,Autoimmune hemolytic anemia,71.42857143,3,Diseases of the blood or blood-forming organs,Congenital haemolytic anaemia
N0000146229,414341000,Giant cell arteritis,100,4,Diseases of the immune system,Giant cell arteritis
N0000146229,415125002,Pneumocystosis pneumonia,100,1,Certain infectious or parasitic diseases,Pneumocystosis
N0000146229,416093006,Allergic reaction to drug,88.88888889,4,Diseases of the immune system,Anaphylaxis due to allergic reaction to food
N0000146229,416558007,Exophthalmos due to thyroid eye disease,70,1,Certain infectious or parasitic diseases,Ebola disease
N0000146229,426437004,Familial idiopathic pulmonary fibrosis,100,12,Diseases of the respiratory system,Idiopathic pulmonary fibrosis
N0000146229,473011001,Allergic condition,71.11111111,14,Diseases of the skin,Allergic contact dermatitis
N0000146229,473460002,Allergic conjunctivitis,100,9,Diseases of the visual system,Conjunctivitis
N0000146229,699262001,Post traumatic osteoarthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Osteoarthritis
N0000146234,88213004,Hyperaldosteronism,100,5,"Endocrine, nutritional or metabolic diseases",Hyperaldosteronism
N0000146234,88616000,Acne vulgaris,62.06896552,12,Diseases of the respiratory system,Acute laryngitis
N0000146234,267038008,Edema,62.5,11,Diseases of the circulatory system,Lymphoedema
N0000146234,389026000,Ascites,75,X,Extension Codes,Parasites
N0000146234,399939002,Hirsutism,63.15789474,1,Certain infectious or parasitic diseases,Pthiriasis
N0000146240,13445001,Ménière's disease,70.27027027,1,Certain infectious or parasitic diseases,Legionnaires disease
N0000146240,38341003,Hypertensive disorder,80.95238095,11,Diseases of the circulatory system,Hypertensive diseases
N0000146240,55827005,Left ventricular hypertrophy,80,11,Diseases of the circulatory system,Left ventricular failure
N0000146240,267038008,Edema,62.5,11,Diseases of the circulatory system,Lymphoedema
N0000146247,35885006,Hyperuricemia,66.66666667,22,"Injury, poisoning or certain other consequences of external causes",Hypothermia
N0000146247,61462000,Malaria,100,1,Certain infectious or parasitic diseases,Human immunodeficiency virus disease associated with malaria
N0000146247,80612004,Leishmaniasis,100,1,Certain infectious or parasitic diseases,Leishmaniasis
N0000146247,90560007,Gout,46.15384615,13,Diseases of the digestive system,Glossitis
N0000146247,427649000,Calcium renal calculus,56.52173913,19,Certain conditions originating in the perinatal period,Congenital renal failure
N0000146249,64766004,Ulcerative colitis,100,13,Diseases of the digestive system,Ulcerative colitis
N0000146249,69896004,Rheumatoid arthritis,100,15,Diseases of the musculoskeletal system or connective tissue,Rheumatoid arthritis
N0000146249,410795001,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146253,267038008,Edema,62.5,11,Diseases of the circulatory system,Lymphoedema
N0000146261,23719005,Transplantation of bone marrow,58.18181818,22,"Injury, poisoning or certain other consequences of external causes",Strain or sprain of elbow
N0000146261,93143009,Leukemia,88.88888889,X,Extension Codes,Leukaemias
N0000146261,118599009,Hodgkin's disease (clinical),70,1,Certain infectious or parasitic diseases,Ebola disease
N0000146261,118601006,Non-Hodgkin's lymphoma (clinical),77.96610169,2,Neoplasms,Classical Hodgkin lymphoma
N0000146261,230156002,Malignant meningitis,74.07407407,1,Certain infectious or parasitic diseases,Plague meningitis
N0000146261,255108000,Carcinoma of urinary bladder,83.33333333,2,Neoplasms,Carcinoma in situ of bladder
N0000146261,363443007,Malignant tumor of ovary,73.17073171,X,Extension Codes,Malignant tumours
N0000146266,56717001,Tuberculosis,100,1,Certain infectious or parasitic diseases,Tuberculosis
N0000146273,1488000,Postoperative nausea and vomiting,100,X,Extension Codes,Postoperative
N0000146273,2032001,Cerebral edema,75,8,Diseases of the nervous system,Cerebral ischaemia
N0000146273,6383007,Premature labor,75,11,Diseases of the circulatory system,Atrial premature depolarization
N0000146273,32273002,INCOMPLETE,100,18,"Pregnancy, childbirth or the puerperium",Obstructed labour due to incomplete rotation of fetal head
N0000146273,37231002,Macular retinal edema,59.09090909,8,Diseases of the nervous system,Spinal muscular atrophy
N0000146273,43363007,Posterior uveitis,100,X,Extension Codes,Posterior
N0000146273,47709007,Humoral hypercalcemia of malignancy,61.33333333,14,Diseases of the skin,Cutaneous markers of internal malignancy
