NDF-RT,SNOMED,CommonName,ICD11-Category
N0000146229,111196000,Dermatitis herpetiformis,
N0000146229,118599009,Hodgkin's disease (clinical),
N0000146229,118600007,Malignant lymphoma,
N0000146229,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146229,118618005,Mycosis fungoides (clinical),
N0000146229,119292006,Disorder of gastrointestinal tract,
N0000146229,128473001,Uveitis,
N0000146229,129458007,INCOMPLETE,
N0000146229,154283005,Pulmonary tuberculosis,
N0000146229,155597006,Aspiration pneumonitis,
N0000146229,190818004,Waldenström macroglobulinemia,
N0000146229,192929006,Exacerbation of multiple sclerosis,
N0000146229,193093009,Bell's palsy,
N0000146229,195951007,Acute exacerbation of chronic obstructive pulmonary disease,
N0000146229,195967001,Asthma,
N0000146229,213148006,Transplanted organ rejection,
N0000146229,233702002,Summer-type hypersensitivity pneumonitis,
N0000146229,233933006,Cardiac transplant rejection,
N0000146229,234375006,Transient erythroblastopenia of childhood,
N0000146229,234646005,Graft versus host disease,
N0000146229,236084000,INCOMPLETE,
N0000146229,236504007,Henoch-Schönlein nephritis,
N0000146229,236570004,Renal transplant rejection,
N0000146229,237751000,Congenital adrenal hyperplasia,
N0000146229,237785004,Hypoadrenalism,
N0000146229,240867002,Invasive trichinosis,
N0000146229,254838004,Carcinoma of breast,
N0000146229,254900004,Carcinoma of prostate,
N0000146229,254935002,Intracranial tumor,
N0000146229,276177000,Thyroid eye disease,
N0000146229,307651005,Primary myelofibrosis,
N0000146229,312591002,Acute rheumatic heart disease,
N0000146229,359789008,Takayasu's disease,
N0000146229,362969004,Disorder of endocrine system,
N0000146229,363179006,Inflammatory disorder of musculoskeletal system,
N0000146229,367542003,Pulmonary eosinophilia,
N0000146229,371409005,Disorder of eye region,
N0000146229,386584007,Adrenal cortical hypofunction,
N0000146229,386661006,Fever,
N0000146229,396230008,Dermatomyositis,
N0000146229,396275006,Osteoarthritis,
N0000146229,399269003,Arthropathy,
N0000146229,399992009,Erythroderma,
N0000146229,400130008,Temporal arteritis,
N0000146229,403608009,Serum sickness caused by drug,
N0000146229,410692006,Anterior uveitis,
N0000146229,410795001,INCOMPLETE,
N0000146229,413603009,Autoimmune hemolytic anemia,
N0000146229,414341000,Giant cell arteritis,
N0000146229,415125002,Pneumocystosis pneumonia,
N0000146229,416093006,Allergic reaction to drug,
N0000146229,416558007,Exophthalmos due to thyroid eye disease,
N0000146229,426437004,Familial idiopathic pulmonary fibrosis,
N0000146229,473011001,Allergic condition,
N0000146229,473460002,Allergic conjunctivitis,
N0000146229,699262001,Post traumatic osteoarthritis,
N0000146234,88213004,Hyperaldosteronism,
N0000146234,88616000,Acne vulgaris,
N0000146234,267038008,Edema,
N0000146234,389026000,Ascites,
N0000146234,399939002,Hirsutism,
N0000146240,13445001,Ménière's disease,
N0000146240,38341003,Hypertensive disorder,
N0000146240,55827005,Left ventricular hypertrophy,
N0000146240,267038008,Edema,
N0000146247,35885006,Hyperuricemia,
N0000146247,61462000,Malaria,
N0000146247,80612004,Leishmaniasis,
N0000146247,90560007,Gout,
N0000146247,427649000,Calcium renal calculus,
N0000146249,64766004,Ulcerative colitis,
N0000146249,69896004,Rheumatoid arthritis,
N0000146249,410795001,INCOMPLETE,
N0000146253,267038008,Edema,
N0000146261,23719005,Transplantation of bone marrow,
N0000146261,93143009,Leukemia,
N0000146261,118599009,Hodgkin's disease (clinical),
N0000146261,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146261,230156002,Malignant meningitis,
N0000146261,255108000,Carcinoma of urinary bladder,
N0000146261,363443007,Malignant tumor of ovary,
N0000146266,56717001,Tuberculosis,
N0000146273,1488000,Postoperative nausea and vomiting,
N0000146273,2032001,Cerebral edema,
N0000146273,6383007,Premature labor,
N0000146273,32273002,INCOMPLETE,
N0000146273,37231002,Macular retinal edema,
N0000146273,43363007,Posterior uveitis,
N0000146273,47709007,Humoral hypercalcemia of malignancy,
N0000146273,52254009,Nephrotic syndrome,
N0000146273,58437007,Tuberculosis of meninges,
N0000146273,81573002,Collagen disease,
N0000146273,93143009,Leukemia,
N0000146273,109989006,Multiple myeloma,
N0000146273,118600007,Malignant lymphoma,
N0000146273,118618005,Mycosis fungoides (clinical),
N0000146273,192929006,Exacerbation of multiple sclerosis,
N0000146273,236084000,INCOMPLETE,
N0000146273,254900004,Carcinoma of prostate,
N0000146273,254935002,Intracranial tumor,
N0000146273,363179006,Inflammatory disorder of musculoskeletal system,
N0000146273,405737000,Pharyngitis,
N0000146273,473011001,Allergic condition,
N0000146289,16932000,Nausea and vomiting,
N0000146289,58214004,Schizophrenia,
N0000146289,69322001,Psychotic disorder,
N0000146291,29028009,Thyrotoxic crisis,
N0000146291,58437007,Tuberculosis of meninges,
N0000146291,64766004,Ulcerative colitis,
N0000146291,70153002,Hemorrhoids,
N0000146291,76571007,Septic shock,
N0000146291,192929006,Exacerbation of multiple sclerosis,
N0000146291,197603000,Nephrotic syndrome associated with another disorder,
N0000146291,235760009,Radiation proctitis,
N0000146291,236084000,INCOMPLETE,
N0000146291,363179006,Inflammatory disorder of musculoskeletal system,
N0000146291,386584007,Adrenal cortical hypofunction,
N0000146291,473011001,Allergic condition,
N0000146320,4556007,Gastritis,
N0000146320,16761005,Esophagitis,
N0000146320,51868009,Ulcer of duodenum,
N0000146320,74474003,Gastrointestinal hemorrhage,
N0000146320,162031009,Indigestion,
N0000146320,235595009,Gastroesophageal reflux disease,
N0000146320,307759003,Helicobacter pylori gastrointestinal tract infection,
N0000146320,397825006,Gastric ulcer,
N0000146334,10706006,Tuberculosis of central nervous system,
N0000146334,15188001,Hearing loss,
N0000146334,28122003,Pulmonary eosinophilic granuloma,
N0000146334,40527005,Idiopathic pulmonary hemosiderosis,
N0000146334,50043002,Disorder of respiratory system,
N0000146334,55342001,Neoplastic disease,
N0000146334,69896004,Rheumatoid arthritis,
N0000146334,75053002,Acute febrile mucocutaneous lymph node syndrome,
N0000146334,81004002,Leprosy,
N0000146334,81573002,Collagen disease,
N0000146334,95320005,Disorder of skin,
N0000146334,109989006,Multiple myeloma,
N0000146334,118599009,Hodgkin's disease (clinical),
N0000146334,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146334,119292006,Disorder of gastrointestinal tract,
N0000146334,192929006,Exacerbation of multiple sclerosis,
N0000146334,193093009,Bell's palsy,
N0000146334,195951007,Acute exacerbation of chronic obstructive pulmonary disease,
N0000146334,195967001,Asthma,
N0000146334,197603000,Nephrotic syndrome associated with another disorder,
N0000146334,213148006,Transplanted organ rejection,
N0000146334,235875008,Alcoholic hepatitis,
N0000146334,238525001,Polymorphous light eruption,
N0000146334,240867002,Invasive trichinosis,
N0000146334,254837009,Malignant tumor of breast,
N0000146334,254935002,Intracranial tumor,
N0000146334,312133006,Viral respiratory infection,
N0000146334,362969004,Disorder of endocrine system,
N0000146334,363179006,Inflammatory disorder of musculoskeletal system,
N0000146334,371409005,Disorder of eye region,
N0000146334,386661006,Fever,
N0000146334,399068003,Malignant tumor of prostate,
N0000146334,473011001,Allergic condition,
N0000146366,13197004,Uses contraception,
N0000146366,19155002,INCOMPLETE,
N0000146366,69878008,INCOMPLETE,
N0000146366,102447009,Postmenopausal osteoporosis,
N0000146366,129103003,Endometriosis (clinical),
N0000146366,170951000,INCOMPLETE,
N0000146366,266599000,Dysmenorrhea,
N0000146366,268463003,Uses postcoital contraception,
N0000146366,386692008,Menorrhagia,
N0000146370,13197004,Uses contraception,
N0000146370,21801002,Menopausal symptom,
N0000146370,129103003,Endometriosis (clinical),
N0000146370,237072009,Endometrial hyperplasia,
N0000146370,268463003,Uses postcoital contraception,
N0000146370,386692008,Menorrhagia,
N0000146388,6456007,Supraventricular tachycardia,
N0000146388,49436004,Atrial fibrillation,
N0000146388,84114007,Heart failure,
N0000146388,240298005,Fetal tachycardia,
N0000146409,34000006,Crohn's disease,
N0000146409,47709007,Humoral hypercalcemia of malignancy,
N0000146409,50043002,Disorder of respiratory system,
N0000146409,51599000,Edema of larynx,
N0000146409,52254009,Nephrotic syndrome,
N0000146409,55342001,Neoplastic disease,
N0000146409,58437007,Tuberculosis of meninges,
N0000146409,64766004,Ulcerative colitis,
N0000146409,81573002,Collagen disease,
N0000146409,90584004,Spinal cord injury,
N0000146409,93143009,Leukemia,
N0000146409,95320005,Disorder of skin,
N0000146409,109989006,Multiple myeloma,
N0000146409,118600007,Malignant lymphoma,
N0000146409,118618005,Mycosis fungoides (clinical),
N0000146409,192929006,Exacerbation of multiple sclerosis,
N0000146409,195951007,Acute exacerbation of chronic obstructive pulmonary disease,
N0000146409,195967001,Asthma,
N0000146409,234646005,Graft versus host disease,
N0000146409,240867002,Invasive trichinosis,
N0000146409,254838004,Carcinoma of breast,
N0000146409,254935002,Intracranial tumor,
N0000146409,362969004,Disorder of endocrine system,
N0000146409,363179006,Inflammatory disorder of musculoskeletal system,
N0000146409,371409005,Disorder of eye region,
N0000146409,399068003,Malignant tumor of prostate,
N0000146409,409711008,Viral labyrinthitis,
N0000146409,473011001,Allergic condition,
N0000146413,191480000,Alcohol withdrawal,
N0000146413,371631005,Panic disorder,
N0000146417,11687002,Gestational diabetes mellitus,
N0000146452,19906005,Retinoblastoma,
N0000146452,23719005,Transplantation of bone marrow,
N0000146452,24700007,Multiple sclerosis,
N0000146452,32273002,INCOMPLETE,
N0000146452,44785005,Minimal change disease,
N0000146452,50715003,Pure red cell aplasia,
N0000146452,52254009,Nephrotic syndrome,
N0000146452,65399007,Langerhans cell histiocytosis,
N0000146452,91637004,Myasthenia gravis,
N0000146452,91857003,Acute lymphoid leukemia,
N0000146452,91861009,"Acute myeloid leukemia, disease",
N0000146452,92818009,Chronic myeloid leukemia,
N0000146452,93934004,Primary malignant neoplasm of ovary,
N0000146452,109989006,Multiple myeloma,
N0000146452,118599009,Hodgkin's disease (clinical),
N0000146452,118600007,Malignant lymphoma,
N0000146452,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146452,118612006,Malignant histiocytosis (clinical),
N0000146452,118617000,Burkitt's lymphoma (clinical),
N0000146452,118618005,Mycosis fungoides (clinical),
N0000146452,188192002,Malignant neoplasm of endometrium of corpus uteri,
N0000146452,190818004,Waldenström macroglobulinemia,
N0000146452,195353004,Granulomatosis with polyangiitis,
N0000146452,234336002,Hemopoietic stem cell transplant,
N0000146452,254632001,Small cell carcinoma of lung,
N0000146452,254935002,Intracranial tumor,
N0000146452,302835009,Pheochromocytoma,
N0000146452,302847003,Rhabdomyosarcoma,
N0000146452,302849000,Nephroblastoma,
N0000146452,307576001,Osteosarcoma of bone,
N0000146452,307608006,Ewing's sarcoma of bone,
N0000146452,307755009,Renal tubulo-interstitial disorder due to systemic lupus erythematosus,
N0000146452,363354003,Malignant tumor of cervix,
N0000146452,363449006,Malignant tumor of testis,
N0000146452,400054000,Rheumatoid vasculitis,
N0000146452,402878003,Germ cell tumor,
N0000146452,413603009,Autoimmune hemolytic anemia,
N0000146452,432328008,Neuroblastoma,
N0000146452,443487006,Mantle cell lymphoma,
N0000146452,609519004,Gestational trophoblastic neoplasia,
N0000146461,1488000,Postoperative nausea and vomiting,
N0000146461,2776000,Delirium,
N0000146461,5158005,Gilles de la Tourette's syndrome,
N0000146461,44548000,Hyperactive behavior,
N0000146461,58214004,Schizophrenia,
N0000146461,66590003,Alcohol dependence,
N0000146461,231450007,INCOMPLETE,
N0000146473,23719005,Transplantation of bone marrow,
N0000146473,109989006,Multiple myeloma,
N0000146473,118599009,Hodgkin's disease (clinical),
N0000146473,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146473,118618005,Mycosis fungoides (clinical),
N0000146473,190818004,Waldenström macroglobulinemia,
N0000146473,254935002,Intracranial tumor,
N0000146473,276828006,Glioblastoma multiforme of brain,
N0000146473,372143007,Carcinoma of stomach,
N0000146473,372244006,Malignant melanoma,
N0000146473,428061005,Malignant neoplasm of brain,
N0000146476,19906005,Retinoblastoma,
N0000146476,109841003,Liver cell carcinoma,
N0000146476,109843000,Hepatoblastoma,
N0000146476,109989006,Multiple myeloma,
N0000146476,118599009,Hodgkin's disease (clinical),
N0000146476,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146476,187692001,Malignant tumor of nasopharynx,
N0000146476,254632001,Small cell carcinoma of lung,
N0000146476,254637007,Non-small cell lung cancer,
N0000146476,254645002,Malignant mesothelioma of pleura,
N0000146476,254878006,Endometrial carcinoma,
N0000146476,254937005,INCOMPLETE,
N0000146476,255035007,Adrenal carcinoma,
N0000146476,255046005,INCOMPLETE,
N0000146476,255056009,Malignant tumor of head and neck,
N0000146476,255109008,Transitional cell carcinoma of urinary bladder,
N0000146476,286887005,Carcinoma liver and/or biliary system,
N0000146476,302817000,INCOMPLETE,
N0000146476,307576001,Osteosarcoma of bone,
N0000146476,363349007,Malignant tumor of stomach,
N0000146476,363354003,Malignant tumor of cervix,
N0000146476,363367000,Malignant tumor of vulva,
N0000146476,363443007,Malignant tumor of ovary,
N0000146476,363449006,Malignant tumor of testis,
N0000146476,363490009,Malignant tumor of anus,
N0000146476,372062007,Malignant neoplasm of central nervous system,
N0000146476,372130007,Malignant neoplasm of skin,
N0000146476,372138000,Carcinoma of esophagus,
N0000146476,402878003,Germ cell tumor,
N0000146476,424413001,Sarcoma,
N0000146476,424952003,Sarcoma of soft tissue,
N0000146476,432328008,Neuroblastoma,
N0000146476,443493003,Metastatic malignant melanoma,
N0000146476,609519004,Gestational trophoblastic neoplasia,
N0000146478,23719005,Transplantation of bone marrow,
N0000146478,91857003,Acute lymphoid leukemia,
N0000146478,91861009,"Acute myeloid leukemia, disease",
N0000146478,109378008,"Mesothelioma (malignant, clinical disorder)",
N0000146478,109841003,Liver cell carcinoma,
N0000146478,109843000,Hepatoblastoma,
N0000146478,109989006,Multiple myeloma,
N0000146478,109995007,Myelodysplastic syndrome (clinical),
N0000146478,118599009,Hodgkin's disease (clinical),
N0000146478,118601006,Non-Hodgkin's lymphoma (clinical),
N0000146478,237059008,Germ cell tumor of ovary,
N0000146478,253001006,Merkel cell carcinoma,
N0000146478,254632001,Small cell carcinoma of lung,
N0000146478,254637007,Non-small cell lung cancer,
N0000146478,254878006,Endometrial carcinoma,
N0000146478,254935002,Intracranial tumor,
N0000146478,255035007,Adrenal carcinoma,
N0000146478,255046005,INCOMPLETE,
N0000146478,276828006,Glioblastoma multiforme of brain,
N0000146478,302847003,Rhabdomyosarcoma,
N0000146478,302849000,Nephroblastoma,
N0000146478,307576001,Osteosarcoma of bone,
N0000146478,307608006,Ewing's sarcoma of bone,
N0000146478,363349007,Malignant tumor of stomach,
N0000146478,363449006,Malignant tumor of testis,
N0000146478,370967009,Retinoblastoma,
N0000146478,399068003,Malignant tumor of prostate,
N0000146478,400122007,Primary cutaneous T-cell lymphoma,
N0000146478,402878003,Germ cell tumor,
N0000146478,416402001,Gestational trophoblastic disease,
N0000146478,420524008,Kaposi's sarcoma with AIDS (acquired immunodeficiency syndrome),
N0000146478,424952003,Sarcoma of soft tissue,
N0000146478,432328008,Neuroblastoma,
N0000146717,6383007,Premature labor,
N0000146717,30037006,Anal fissure,
N0000146717,31054009,Ureteric stone,
N0000146717,37869000,Chilblains,
N0000146717,38341003,Hypertensive disorder,
N0000146717,79962008,Diffuse spasm of esophagus,
N0000146717,87343002,Prinzmetal angina,
N0000146717,123799005,Renovascular hypertension,
N0000146717,129618003,Autonomic dysreflexia,
N0000146717,233707008,High altitude pulmonary edema,
N0000146717,233819005,Stable angina,
N0000146717,233873004,Hypertrophic cardiomyopathy,
N0000146729,16041008,Female hypogonadism syndrome,
N0000146729,19155002,INCOMPLETE,
N0000146729,38804009,Turner syndrome,
N0000146729,71315007,Dyspareunia,
N0000146729,87991007,Gender identity disorder,
N0000146729,102447009,Postmenopausal osteoporosis,
N0000146729,110368006,Decreased estrogen level,
N0000146729,170951000,INCOMPLETE,
N0000146729,248861000,Atrophic vulva,
N0000146729,254900004,Carcinoma of prostate,
N0000146729,268463003,Uses postcoital contraception,
N0000146729,315004001,INCOMPLETE,
N0000146729,421132004,Platelet dysfunction associated with uremia,
N0000146784,42343007,Congestive heart failure,
N0000146784,49601007,Disorder of cardiovascular system,
N0000146784,57054005,Acute myocardial infarction,
N0000146784,72654001,Supraventricular arrhythmia,
N0000146784,191480000,Alcohol withdrawal,
N0000146784,194828000,Angina pectoris,
N0000146818,13197004,Uses contraception,
N0000146818,14302001,Amenorrhea,
N0000146818,19155002,INCOMPLETE,
N0000146818,129103003,Endometriosis (clinical),
N0000146932,11999007,Inactive tuberculosis,
N0000146932,12166008,Staphylococcal meningitis,
N0000146932,23511006,Meningococcal infectious disease,
N0000146932,51169003,Pneumococcal meningitis,
N0000146932,56038003,Staphylococcal infectious disease,
N0000146932,60168000,Osteomyelitis,
N0000146932,75702008,Brucellosis,
N0000146932,81004002,Leprosy,
N0000146932,91428005,Haemophilus influenzae infection,
N0000146932,111812000,Atypical mycobacterial infection,
N0000146932,195889001,Legionella pneumonia,
N0000146932,233850007,Infective endocarditis,
N0000146932,240637006,Cutaneous leishmaniasis,
N0000146932,266123003,Bartonellosis,
N0000146932,276883000,Peritoneal dialysis-associated peritonitis,
N0000146932,423997002,"Tuberculosis, extrapulmonary",
N0000146932,427099000,Active tuberculosis,
N0000146932,427481004,INCOMPLETE,
N0000146932,1731000119106,Atypical mycobacterial infection of lung,
N0000147028,37356005,INCOMPLETE,
N0000147028,79631006,Absence seizure,
N0000147028,230456007,Status epilepticus,
N0000147028,230572002,Neuropathy due to diabetes mellitus,
N0000147028,407675009,Focal onset impaired awareness epileptic seizure,
N0000147049,82423001,Chronic pain,
N0000147049,396275006,Osteoarthritis,
N0000147049,410011004,Administration of anesthesia AND/OR sedation,
N0000147064,50715003,Pure red cell aplasia,
N0000147064,52254009,Nephrotic syndrome,
N0000147064,56317004,Alopecia,
N0000147064,83901003,Sjögren's syndrome,
N0000147064,91637004,Myasthenia gravis,
N0000147064,233933006,Cardiac transplant rejection,
N0000147064,234646005,Graft versus host disease,
N0000147064,235911006,Liver transplant rejection,
N0000147064,236403004,Focal segmental glomerulosclerosis,
N0000147064,236570004,Renal transplant rejection,
N0000147064,302896008,Keratoconjunctivitis sicca,
N0000147064,306058006,Aplastic anemia,
N0000147064,307755009,Renal tubulo-interstitial disorder due to systemic lupus erythematosus,
N0000147064,312603000,Lung transplant rejection,
N0000147066,23132008,AL amyloidosis,
N0000147066,23719005,Transplantation of bone marrow,
N0000147066,92818009,Chronic myeloid leukemia,
N0000147066,109989006,Multiple myeloma,
N0000147066,118599009,Hodgkin's disease (clinical),
N0000147066,190818004,Waldenström macroglobulinemia,
N0000147066,254837009,Malignant tumor of breast,
N0000147066,254849005,Malignant epithelial tumor of ovary,
N0000147066,254878006,Endometrial carcinoma,
N0000147069,2897005,Immune thrombocytopenia,
N0000147069,24079001,Atopic dermatitis,
N0000147069,24700007,Multiple sclerosis,
N0000147069,31996006,Vasculitis,
N0000147069,34000006,Crohn's disease,
N0000147069,36715001,Erythema multiforme,
N0000147069,49420001,Pemphigus vulgaris,
N0000147069,81704009,Sprue,
N0000147069,91637004,Myasthenia gravis,
N0000147069,213148006,Transplanted organ rejection,
N0000147069,235911006,Liver transplant rejection,
N0000147069,236570004,Renal transplant rejection,
N0000147069,307755009,Renal tubulo-interstitial disorder due to systemic lupus erythematosus,
N0000147069,359789008,Takayasu's disease,
N0000147069,396230008,Dermatomyositis,
N0000147069,431506006,Rejection of pancreas transplant,
N0000147072,52254009,Nephrotic syndrome,
N0000147072,65399007,Langerhans cell histiocytosis,
N0000147072,93934004,Primary malignant neoplasm of ovary,
N0000147072,118599009,Hodgkin's disease (clinical),
N0000147072,118601006,Non-Hodgkin's lymphoma (clinical),
N0000147072,118613001,Hairy cell leukemia (clinical),
N0000147072,118618005,Mycosis fungoides (clinical),
N0000147072,190818004,Waldenström macroglobulinemia,
N0000147072,609519004,Gestational trophoblastic neoplasia,
N0000147076,92818009,Chronic myeloid leukemia,
N0000147076,109992005,Polycythemia vera (clinical),
N0000147076,109994006,Essential thrombocythemia,
N0000147076,234336002,Hemopoietic stem cell transplant,
N0000147079,34000006,Crohn's disease,
N0000147079,91861009,"Acute myeloid leukemia, disease",
N0000147079,92818009,Chronic myeloid leukemia,
N0000147079,110004001,"Acute promyelocytic leukemia, FAB M3",
N0000147079,118601006,Non-Hodgkin's lymphoma (clinical),
N0000147079,408335007,Autoimmune hepatitis,
N0000147149,9631008,Ankylosing spondylitis,
N0000147149,22253000,Pain,
N0000147149,34840004,Tendinitis,
N0000147149,65754002,Primary dysmenorrhea,
N0000147149,69896004,Rheumatoid arthritis,
N0000147149,84017003,Bursitis,
N0000147149,282026002,Soft tissue injury,
N0000147149,386692008,Menorrhagia,
N0000147149,396275006,Osteoarthritis,
N0000147149,410793008,INCOMPLETE,
N0000147149,410795001,INCOMPLETE,
N0000147185,19824006,Infection of skin and/or subcutaneous tissue,
N0000147185,43878008,Streptococcal sore throat,
N0000147185,60168000,Osteomyelitis,
N0000147185,65363002,Otitis media,
N0000147185,68566005,Urinary tract infectious disease,
N0000147185,79411002,Acute prostatitis,
N0000147185,213121005,Prosthetic joint infection,
N0000147185,275498002,Respiratory tract infection,
N0000147185,301183007,Bacterial endocarditis,
N0000147496,6142004,Influenza,
N0000147496,25225006,Disease caused by Adenovirus,
N0000147496,55735004,Respiratory syncytial virus infection,
N0000147496,88594005,Herpes simplex,
N0000147496,240523007,Viral hemorrhagic fever,
N0000147503,4834000,Typhoid fever,
N0000147503,9713002,Prostatitis,
N0000147503,15628003,Gonorrhea,
N0000147503,19213003,Infectious diarrheal disease,
N0000147503,19265001,Tularemia,
N0000147503,19824006,Infection of skin and/or subcutaneous tissue,
N0000147503,23511006,Meningococcal infectious disease,
N0000147503,28867007,Granuloma inguinale,
N0000147503,31070006,Epididymitis,
N0000147503,32398004,Bronchitis,
N0000147503,34000006,Crohn's disease,
N0000147503,41565005,Periodontitis,
N0000147503,42338000,Salmonella gastroenteritis,
N0000147503,48661000,Peritonitis,
N0000147503,56717001,Tuberculosis,
N0000147503,58750007,Plague,
N0000147503,63650001,Cholera,
N0000147503,68226007,Acute cystitis,
N0000147503,68566005,Urinary tract infectious disease,
N0000147503,80960004,Infection by Yersinia enterocolitica,
N0000147503,88329009,INCOMPLETE,
N0000147503,95883001,Bacterial meningitis,
N0000147503,111253001,Infection of bone,
N0000147503,111812000,Atypical mycobacterial infection,
N0000147503,128070006,Infectious disease of abdomen,
N0000147503,128351009,Eye infection,
N0000147503,213121005,Prosthetic joint infection,
N0000147503,233850007,Infective endocarditis,
N0000147503,266143009,Chancroid,
N0000147503,301183007,Bacterial endocarditis,
N0000147503,303087003,Transurethral resection of prostate (TURP) syndrome,
N0000147503,312118003,Bacterial upper respiratory infection,
N0000147503,386621005,Operation on gastrointestinal tract,
N0000147503,397696004,Antibiotic enterocolitis,
N0000147503,405590003,Infective cholangitis,
N0000147503,409089005,Febrile neutropenia,
N0000147503,409498004,Anthrax,
N0000147503,425464007,Hospital acquired pneumonia,
N0000147503,428885001,Bacteremia associated with intravascular line,
N0000147537,4855003,Retinopathy due to diabetes mellitus,
N0000147537,37796009,Migraine,
N0000147537,771000119108,Chronic kidney disease due to type 2 diabetes mellitus,
N0000147569,16331000,Heartburn,
N0000147569,40719004,Erosive esophagitis,
N0000147569,63305008,Stricture of esophagus,
N0000147569,68834009,Giant duodenal ulcer,
N0000147569,74474003,Gastrointestinal hemorrhage,
N0000147569,89662003,Helicobacter-associated pyloric ulcer,
N0000147569,162031009,Indigestion,
N0000147569,196757008,Drug-induced gastrointestinal disturbance,
N0000147569,307759003,Helicobacter pylori gastrointestinal tract infection,
N0000147569,397825006,Gastric ulcer,
N0000147569,427780002,Laryngitis due to gastroesophageal reflux,
N0000147598,19906005,Retinoblastoma,
N0000147598,93143009,Leukemia,
N0000147598,109378008,"Mesothelioma (malignant, clinical disorder)",
N0000147598,118599009,Hodgkin's disease (clinical),
N0000147598,118601006,Non-Hodgkin's lymphoma (clinical),
N0000147598,126951006,Neoplasm of central nervous system,
N0000147598,188192002,Malignant neoplasm of endometrium of corpus uteri,
N0000147598,234336002,Hemopoietic stem cell transplant,
N0000147598,253001006,Merkel cell carcinoma,
N0000147598,254632001,Small cell carcinoma of lung,
N0000147598,254637007,Non-small cell lung cancer,
N0000147598,254935002,Intracranial tumor,
N0000147598,255046005,INCOMPLETE,
N0000147598,255056009,Malignant tumor of head and neck,
N0000147598,255107005,Seminoma of testis,
N0000147598,285432005,Carcinoma of cervix,
N0000147598,302817000,INCOMPLETE,
N0000147598,307576001,Osteosarcoma of bone,
N0000147598,307608006,Ewing's sarcoma of bone,
N0000147598,363402007,Malignant tumor of esophagus,
N0000147598,363443007,Malignant tumor of ovary,
N0000147598,363449006,Malignant tumor of testis,
N0000147598,372244006,Malignant melanoma,
N0000147598,399326009,Malignant neoplasm of urinary bladder,
N0000147602,53741008,Coronary arteriosclerosis,
N0000147602,230690007,Cerebrovascular accident,
N0000147602,232717009,Coronary artery bypass graft,
N0000147602,371893007,Restenotic lesion of coronary artery,
N0000147602,394659003,Acute coronary syndrome,
N0000147602,398036000,Familial hypercholesterolemia,
N0000147602,415070008,Percutaneous coronary intervention,
N0000147608,49049000,Parkinson's disease,
N0000147608,58214004,Schizophrenia,
N0000147608,68890003,Schizoaffective disorder,
N0000147622,86406008,Human immunodeficiency virus infection,
N0000147628,19155002,INCOMPLETE,
N0000147628,63487001,Assisted fertilization,
N0000147628,129103003,Endometriosis (clinical),
N0000147628,254837009,Malignant tumor of breast,
N0000147628,399068003,Malignant tumor of prostate,
N0000147628,400179000,Precocious puberty,
N0000147662,22298006,Myocardial infarction,
N0000147662,230690007,Cerebrovascular accident,
N0000147662,233845001,Cardiac syndrome X,
N0000147662,400047006,Peripheral vascular disease,
N0000147662,771000119108,Chronic kidney disease due to type 2 diabetes mellitus,
N0000147687,53827007,Excessive salivation,
N0000147687,61356009,Poisoning by parasympathomimetic drug,
N0000147687,128473001,Uveitis,
N0000147687,241703000,Reversal of neuromuscular blockade,
N0000147687,424986007,Instillation of dilating eye drops to eye,
N0000147687,444605001,Symptomatic sinus bradycardia,
N0000147699,38341003,Hypertensive disorder,
N0000147699,42343007,Congestive heart failure,
N0000147699,190905008,Cystic fibrosis,
N0000147699,267038008,Edema,
N0000147701,6285003,Tachyarrhythmia,
N0000147701,22298006,Myocardial infarction,
N0000147701,25569003,Ventricular tachycardia,
N0000147701,44103008,Ventricular arrhythmia,
N0000147701,49436004,Atrial fibrillation,
N0000147701,71908006,Ventricular fibrillation,
N0000147701,72654001,Supraventricular arrhythmia,
N0000147701,84114007,Heart failure,
N0000147701,240298005,Fetal tachycardia,
N0000147702,2177002,Postherpetic neuralgia,
N0000147702,10743008,Irritable bowel syndrome,
N0000147702,22253000,Pain,
N0000147702,25064002,Headache,
N0000147702,35489007,Depressive disorder,
N0000147702,42345000,Polyneuropathy,
N0000147702,47505003,Posttraumatic stress disorder,
N0000147702,247398009,Neuropathic pain,
N0000147702,445322004,Migraine variant with headache,
N0000147738,13746004,Bipolar disorder,
N0000147738,191627008,"Bipolar affective disorder, current episode depression",
N0000147738,247803002,Seasonal affective disorder,
N0000147738,370143000,Major depressive disorder,
N0000147738,384742004,Smoking cessation assistance,
N0000147738,406506008,Attention deficit hyperactivity disorder,
N0000147739,21897009,Generalized anxiety disorder,
N0000147779,35919005,Autism spectrum disorder,
N0000147779,44001008,Premature ejaculation,
N0000147779,48500005,Delusional disorder,
N0000147779,82423001,Chronic pain,
N0000147779,191736004,Obsessive-compulsive disorder,
N0000147779,225624000,Panic attack,
N0000147784,39823006,Generalized atherosclerosis,
N0000147784,44332000,Bile acid malabsorption syndrome,
N0000147784,238076009,Primary hypercholesterolemia,
