Gene_Claim_Name	Importance_Score	NCBI_Gene_ID
ENO3	0.000030	2027
EIF4G2	0.000030	1982
EIF4EBP2	0.000030	1979
EIF4EP1	0.000030	1980
HRG	0.000030	3273
ELF2	0.000030	1998
DNMT3B	0.000030	1789
KCNG3	0.000030	170850
FLCN	0.000030	201163
RIT1	0.000030	6016
SIGLEC8	0.000030	27181
COL28A1	0.000030	340267
FFAR3	0.000030	2865
COL3A1	0.000030	1281
CCNK	0.000030	8812
P2RY11	0.000030	5032
PSEN2	0.000030	5664
ARVCF	0.000030	421
ALDH1A2	0.000030	8854
NPIPB8	0.000030	728734
ANK2	0.000030	287
C8A	0.000030	731
UGT2B4	0.000030	7363
CAPN1	0.000030	823
E2F3	0.000030	1871
ASIP	0.000030	434
ACTR2	0.000030	10097
COL2A1	0.000030	1280
PRIM2	0.000030	5558
PSMC5	0.000030	5705
EPHB4	0.000030	2050
ENPP2	0.000030	5168
IKBKE	0.000030	9641
ADCY5	0.000030	111
FER	0.000030	2241
CDK5R1	0.000030	8851
SOD1	0.000030	6647
AREG	0.000030	374
EPAS1	0.000030	2034
APLNR	0.000030	187
LY96	0.000030	23643
CACNG6	0.000030	59285
NOX1	0.000030	27035
GRB14	0.000030	2888
KLB	0.000030	152831
PPIA	0.000030	5478
IFNA7	0.000030	3444
IFNA5	0.000030	3442
PPP3CC	0.000030	5533
APLN	0.000030	8862
CNTFR	0.000030	1271
PSMD3	0.000030	5709
DNM1	0.000030	1759
FGF13	0.000030	2258
GPC4	0.000030	2239
GK4P	0.000030	2716
GBP1	0.000030	2633
HBG2	0.000030	3048
STK4	0.000030	6789
PTPRM	0.000030	5797
NIPSNAP2	0.000030	2631
CLTC	0.000030	1213
SLC36A2	0.000030	153201
COL9A3	0.000030	1299
TUBB	0.000030	203068
DNA2	0.000030	1763
MECOM	0.000030	2122
ATF3	0.000030	467
FGD1	0.000030	2245
FH	0.000030	2271
MDM4	0.000030	4194
PTPN12	0.000030	5782
CCHCR1	0.000030	54535
TOB1	0.000030	10140
CA7	0.000030	766
BCL2L2	0.000030	599
RAC2	0.000030	5880
UGT2B17	0.000030	7367
BCL2L10	0.000030	10017
HIVEP1	0.000030	3096
AMACR	0.000030	23600
STAG2	0.000030	10735
MIR4278	0.000030	100422999
PIP4K2A	0.000030	5305
BCAR1	0.000030	9564
KCNA2	0.000030	3737
LATS2	0.000030	26524
SLC38A4	0.000030	55089
VPS37A	0.000030	137492
ATIC	0.000030	471
CDH1	0.000030	999
RASA1	0.000030	5921
KCNJ10	0.000030	3766
ARHGDIA	0.000030	396
HNRNPH1	0.000030	3187
UBE2K	0.000030	3093
DPP6	0.000030	1804
HELLS	0.000030	3070
TPP1	0.000030	1200
PREP	0.000030	5550
RPE65	0.000030	6121
DMP1	0.000030	1758
CCND1	0.000030	595
FFAR2	0.000030	2867
CD6	0.000030	923
CFD	0.000030	1675
MAS1	0.000030	4142
ITGA2	0.000030	3673
CASP14	0.000030	23581
MERTK	0.000030	10461
FNTA	0.000030	2339
GLG1	0.000030	2734
CDK19	0.000030	23097
SLC15A3	0.000030	51296
TSC2	0.000030	7249
FKBP1AP3	0.000030	2284
HOXA5	0.000030	3202
GOLGA2	0.000030	2801
ACSL1	0.000030	2180
GOLGA1	0.000030	2800
CSTB	0.000030	1476
ATP12A	0.000030	479
COX6A1	0.000030	1337
GADD45A	0.000030	1647
ESD	0.000030	2098
BPI	0.000030	671
EPHA5	0.000030	2044
ART3	0.000030	419
SLC1A7	0.000030	6512
COX7A2P2	0.000030	1348
ADH5	0.000030	128
RPL34	0.000030	6164
LPO	0.000030	4025
KCNN3	0.000030	3782
ZNF134	0.000030	7693
PNPLA3	0.000030	80339
OPCML	0.000030	4978
ETFDH	0.000030	2110
FARP2	0.000030	9855
FXR2	0.000030	9513
KCNH3	0.000030	23416
NT5C1A	0.000030	84618
SLC26A8	0.000030	116369
MECP2	0.000030	4204
CYB5R1	0.000030	51706
STXBP2	0.000030	6813
TPK1	0.000030	27010
TGFBR3	0.000030	7049
RAB5A	0.000030	5868
PRKAR2B	0.000030	5577
NEUROD1	0.000030	4760
CLK4	0.000030	57396
APEX1	0.000030	328
PIGM	0.000030	93183
EXO1	0.000030	9156
CYP11B2	0.000030	1585
LIFR	0.000030	3977
PPCDC	0.000030	60490
CRAT	0.000030	1384
SELL	0.000030	6402
CENPE	0.000030	1062
TCL1A	0.000030	8115
MEGF11	0.000030	84465
MYLIP	0.000030	29116
PRKCB	0.000030	5579
ARID5B	0.000030	84159
OAS1	0.000030	4938
CPOX	0.000030	1371
CCL25	0.000030	6370
TUBA3E	0.000030	112714
STAT4	0.000030	6775
C1QA	0.000030	712
HIVEP2	0.000030	3097
IGFBP6	0.000030	3489
PANX2	0.000030	56666
EDA	0.000030	1896
GSTM4	0.000030	2948
BMP1	0.000030	649
MRM2	0.000030	29960
FUT3	0.000030	2525
PYGB	0.000030	5834
P2RY10	0.000030	27334
P2RY14	0.000030	9934
XYLT2	0.000030	64132
ILKAP	0.000030	80895
UGGT2	0.000030	55757
TTC6	0.000030	319089
NELL1	0.000030	4745
XRCC4	0.000030	7518
PVT1	0.000030	5820
SZRD1	0.000030	26099
LARS1	0.000030	51520
GPR6	0.000030	2830
HOXB3	0.000030	3213
SV2B	0.000030	9899
RXRG	0.000030	6258
GFRA3	0.000030	2676
APOE	0.000030	348
ATP6V0C	0.000030	527
PPIG	0.000030	9360
SLC25A3	0.000030	5250
CLCNKA	0.000030	1187
MTF1	0.000030	4520
MAPKAPK5	0.000030	8550
DPEP1	0.000030	1800
BEST3	0.000030	144453
TSPAN5	0.000030	10098
VPS13D	0.000030	55187
TREML4	0.000030	285852
ADGRE2	0.000030	30817
TREM1	0.000030	54210
KMT2C	0.000030	58508
H3-3A	0.000030	3020
ZNF385D	0.000030	79750
RUNX2	0.000030	860
INSR	0.000030	3643
IMPA1	0.000030	3612
CCL20	0.000030	6364
ITGA1	0.000030	3672
VDAC3	0.000030	7419
BSCL2	0.000030	26580
BTRC	0.000030	8945
AGPAT2	0.000030	10555
DIAPH3	0.000030	81624
F5	0.000030	2153
MIR2054	0.000030	100302267
DLG2	0.000030	1740
LMNB2	0.000030	84823
PSPH	0.000030	5723
TBL1X	0.000030	6907
IDH2	0.000030	3418
GALNT17	0.000030	64409
AKR7A2	0.000030	8574
MYBBP1A	0.000030	10514
PCYT1B	0.000030	9468
UBE2T	0.000030	29089
INPPL1	0.000030	3636
ARHGAP6	0.000030	395
KLK7	0.000030	5650
MALT1	0.000030	10892
NPEPL1	0.000030	79716
ACACA	0.000030	31
METAP1	0.000030	23173
EPHA4	0.000030	2043
EPHB6	0.000030	2051
FAT1	0.000030	2195
HSD3B7	0.000030	80270
SETD4	0.000030	54093
NDUFA3	0.000030	4696
ATAT1	0.000030	79969
CARINH	0.000030	441108
CLNK	0.000030	116449
FOXF1	0.000030	2294
AUH	0.000030	549
CNTN1	0.000030	1272
AIP	0.000030	9049
OXER1	0.000030	165140
SLC4A1	0.000030	6521
NCOA2	0.000030	10499
AKAP13	0.000030	11214
MT3	0.000030	4504
ARHGAP28	0.000030	79822
ISG15	0.000030	9636
TCF3	0.000030	6929
CTSLP8	0.000030	1518
PARG	0.000030	8505
GJA1P1	0.000030	2698
FTH1P1	0.000030	2496
CSN3	0.000030	1448
ACTG2	0.000030	72
CYP2B7P	0.000030	1556
BRCA1	0.000030	672
CD24P3	0.000030	937
TRPC4	0.000030	7223
IFNW1	0.000030	3467
HSPE1	0.000030	3336
POLR1A	0.000030	25885
RNASEL	0.000030	6041
CASP4	0.000030	837
OGG1	0.000030	4968
IL27	0.000030	246778
SDK1	0.000030	221935
CST5	0.000030	1473
CNTN5	0.000030	53942
AQP8	0.000030	343
ARAP2	0.000030	116984
CNPY4	0.000030	245812
GBP6	0.000030	163351
MOB3B	0.000030	79817
FBXL19	0.000030	54620
TAP1	0.000030	6890
HTR3D	0.000030	200909
SMYD3	0.000030	64754
SLC1A4	0.000030	6509
MED19	0.000030	219541
TRIT1	0.000030	54802
P2RX1	0.000030	5023
SLC40A1	0.000030	30061
MAT2A	0.000030	4144
SERPINB2	0.000030	5055
GYG1	0.000030	2992
SOCS6	0.000030	9306
SOS1	0.000030	6654
SDC2	0.000030	6383
PEBP1	0.000030	5037
CD1D	0.000030	912
TNNT3	0.000030	7140
SV2C	0.000030	22987
GMPS	0.000030	8833
POU2F2	0.000030	5452
PRKD2	0.000030	25865
CHI3L1	0.000030	1116
MCHR2	0.000030	84539
ARID4A	0.000030	5926
TMCO6	0.000030	55374
CASP10	0.000030	843
PIK3C2A	0.000030	5286
UNC119	0.000030	9094
STIM2	0.000030	57620
STRAP	0.000030	11171
TEAD1	0.000030	7003
MAFB	0.000030	9935
TNFRSF13B	0.000030	23495
NPHS1	0.000030	4868
GALNT18	0.000030	374378
MIR582	0.000030	693167
CCR2	0.000030	729230
TNRC6A	0.000030	27327
SLC12A8	0.000030	84561
KLRC4	0.000030	8302
DPYD	0.000030	1806
PGLYRP4	0.000030	57115
DGKB	0.000030	1607
IBA57	0.000030	200205
RGS2	0.000030	5997
TOR1A	0.000030	1861
ZIC4	0.000030	84107
CSRP3	0.000030	8048
MIEF2	0.000030	125170
NRXN1	0.000030	9378
COQ8B	0.000030	79934
MAPK6	0.000030	5597
GSTA2	0.000030	2939
SULT1C3	0.000030	442038
KMT2E	0.000030	55904
INVS	0.000030	27130
TEX10	0.000030	54881
MT1A	0.000030	4489
NR4A3	0.000030	8013
MST1	0.000030	4485
STK16	0.000030	8576
SHH	0.000030	6469
PPP5C	0.000030	5536
CDH3	0.000030	1001
LAP3	0.000030	51056
PPP1R3B	0.000030	79660
MAT1A	0.000030	4143
CCN1	0.000030	3491
SLC26A2	0.000030	1836
GPR83	0.000030	10888
ADGRG7	0.000030	84873
CSN2	0.000030	1447
ZMIZ1	0.000030	57178
HLA-DRB6	0.000030	3128
FOXA1	0.000030	3169
GLI4	0.000030	2738
RBL1	0.000030	5933
VCAN	0.000030	1462
ACTN1	0.000030	87
HOXA4	0.000030	3201
BYSL	0.000030	705
GYS1	0.000030	2997
NAGLU	0.000030	4669
LIPG	0.000030	9388
PROZ	0.000030	8858
POMT2	0.000030	29954
UBASH3B	0.000030	84959
LUC7L2	0.000030	51631
BRINP3	0.000030	339479
MAN1A1	0.000030	4121
FGFR2	0.000030	2263
BICD1	0.000030	636
NUCB2	0.000030	4925
PI3	0.000030	5266
MDK	0.000030	4192
TRPC5	0.000030	7224
PAK3	0.000030	5063
PTPN5	0.000030	84867
RNASE1	0.000030	6035
CTAG1A	0.000030	246100
NDUFAF4	0.000030	29078
NDUFA11	0.000030	126328
NDUFA2	0.000030	4695
SLC13A3	0.000030	64849
ACTG1P3	0.000030	75
RAPGEF3	0.000030	10411
CA10	0.000030	56934
DOCK2	0.000030	1794
HOXC12	0.000030	3228
HOXC13	0.000030	3229
DOT1L	0.000030	84444
OCLN	0.000030	100506658
AURKC	0.000030	6795
STK33	0.000030	65975
HMGCS2	0.000030	3158
KAT5	0.000030	10524
FUT2	0.000030	2524
PPP1R18	0.000030	170954
NCOA7	0.000030	135112
CLEC16A	0.000030	23274
CSH2	0.000030	1443
CAPN5	0.000030	726
CDH18	0.000030	1016
C6orf15	0.000030	29113
FDX1P1	0.000030	2231
CDSN	0.000030	1041
HOXD8	0.000030	3234
STEAP1	0.000030	26872
MR1	0.000030	3140
SSU72	0.000030	29101
CCDC70	0.000030	83446
ADAMTS18	0.000030	170692
FGF6	0.000030	2251
FTH1	0.000030	2495
EED	0.000030	8726
SIGLEC10	0.000030	89790
SLC7A11	0.000030	23657
C7	0.000030	730
B3GAT1	0.000030	27087
SH2D5	0.000030	400745
MYH14	0.000030	79784
GJB5	0.000030	2709
PLOD1	0.000030	5351
NGB	0.000030	58157
NPEPPS	0.000030	9520
STAT2	0.000030	6773
GPC5	0.000030	2262
PANX3	0.000030	116337
COPA	0.000030	1314
HOXA11	0.000030	3207
SLC23A2	0.000030	9962
GPX7	0.000030	2882
CSRP1	0.000030	1465
SERINC5	0.000030	256987
P2RY13	0.000030	53829
EPHA10	0.000030	284656
TENT4A	0.000030	11044
SLC6A2	0.000030	6530
PHC1	0.000030	1911
ADO	0.000030	84890
NR2C1	0.000030	7181
MAP2	0.000030	4133
CSH1	0.000030	1442
RELA	0.000030	5970
MUSK	0.000030	4593
TDP2	0.000030	51567
BRSK2	0.000030	9024
EEF1A2	0.000030	1917
TUBB2B	0.000030	347733
CCL21	0.000030	6366
PPP2CB	0.000030	5516
LVRN	0.000030	206338
PPP1R3A	0.000030	5506
NDUFAF3	0.000030	25915
HOXD3	0.000030	3232
GNL1	0.000030	2794
PDE4A	0.000030	5141
S100A9	0.000030	6280
ANKFN1	0.000030	162282
NODAL	0.000030	4838
LAMP1	0.000030	3916
CANX	0.000030	821
CARM1	0.000030	10498
SF3B2	0.000030	10992
STK38L	0.000030	23012
SOAT2	0.000030	8435
KIR3DL2	0.000030	3812
METAP1D	0.000030	254042
XPNPEP3	0.000030	63929
NDUFB8	0.000030	4714
NDUFS1	0.000030	4719
NDUFB11	0.000030	54539
C8B	0.000030	732
C1QC	0.000030	714
PLEKHJ1	0.000030	55111
KCNMB1	0.000030	3779
SLC24A4	0.000030	123041
SCGB3A1	0.000030	92304
PLCE1	0.000030	51196
P4HA1	0.000030	5033
IL37	0.000030	27178
SFN	0.000030	2810
TXNRD3	0.000030	114112
P2RY6	0.000030	5031
P2RY8	0.000030	286530
RNF8	0.000030	9025
PRDX4	0.000030	10549
CDCA3	0.000030	83461
NRP2	0.000030	8828
DCP1B	0.000030	196513
SLC22A17	0.000030	51310
ALG10	0.000030	84920
SPINK5	0.000030	11005
GRK4	0.000030	2868
EOMES	0.000030	8320
SLC31A1	0.000030	1317
GRIA3	0.000030	2892
CD40LG	0.000030	959
ALOX15	0.000030	246
GCNT1	0.000030	2650
MAOA	0.000030	4128
OPRK1	0.000030	4986
NFKB1	0.000030	4790
LPAR1	0.000030	1902
PDGFRB	0.000030	5159
GUCA2A	0.000030	2980
KCNQ1	0.000030	3784
TRDMT1	0.000030	1787
APAF1	0.000030	317
RPS10	0.000030	6204
DNER	0.000030	92737
ABCA2	0.000030	20
SLCO1B3	0.000030	28234
HSP90B2P	0.000030	7190
ARSL	0.000030	415
BNIP3	0.000030	664
CDK20	0.000030	23552
RPL35	0.000030	11224
MET	0.000030	4233
TAC1	0.000030	6863
APLP1	0.000030	333
NCSTN	0.000030	23385
IL6	0.000030	3569
VDR	0.000030	7421
MAPT	0.000030	4137
PLCG2	0.000030	5336
ITGB5	0.000030	3693
RND3	0.000030	390
CXCL12	0.000030	6387
GATA3	0.000030	2625
FYN	0.000030	2534
YWHAE	0.000030	7531
CXCR4	0.000030	7852
HTR2B	0.000030	3357
CD8B2	0.000030	927
BBS1	0.000030	582
ABCC6	0.000030	368
BARD1	0.000030	580
TYRO3	0.000030	7301
SFTPA1	0.000030	653509
RPSA	0.000030	3921
DHCR24	0.000030	1718
USP2	0.000030	9099
BLM	0.000030	641
APOB	0.000030	338
OSM	0.000030	5008
HSD17B10	0.000030	3028
YES1	0.000030	7525
GRIK2	0.000030	2898
HSD3B1	0.000030	3283
FOS	0.000030	2353
ABR	0.000030	29
DHFR	0.000030	1719
KEAP1	0.000030	9817
IFNL3	0.000030	282617
GPC3	0.000030	2719
CXCL8	0.000030	3576
HSP90AA1	0.000030	3320
CHRNB2	0.000030	1141
KCNJ11	0.000030	3767
MAPK11	0.000030	5600
SYK	0.000030	6850
TGM2	0.000030	7052
MMP2	0.000030	4313
GATM	0.000030	2628
TUBB6	0.000030	84617
DLL4	0.000030	54567
PSMA2	0.000030	5683
NR3C2	0.000030	4306
ITGA2B	0.000030	3674
PRKACA	0.000030	5566
TOP2A	0.000030	7153
DDIT3	0.000030	1649
SLC23A1	0.000030	9963
PTEN	0.000030	5728
GRIA1	0.000030	2890
IMPDH2	0.000030	3615
NMUR2	0.000030	56923
HCN4	0.000030	10021
SLC25A6	0.000030	293
CHKA	0.000030	1119
USP1	0.000030	7398
RPL28	0.000030	6158
POLK	0.000030	51426
GPR55	0.000030	9290
HIF1A	0.000030	3091
ANXA2P1	0.000030	303
PRMT1	0.000030	3276
FGFR1	0.000030	2260
RAB40B	0.000030	10966
NR1H4	0.000030	9971
SMAD3	0.000030	4088
CSF1R	0.000030	1436
CAMK2D	0.000030	817
IL6R	0.000030	3570
RPS6KB1	0.000030	6198
HIPK4	0.000030	147746
NSD2	0.000030	7468
PTGS1	0.000030	5742
AQP3	0.000030	360
ESR1	0.000030	2099
KCND3	0.000030	3752
CD4	0.000030	920
PLG	0.000030	5340
ATAD5	0.000030	79915
MAPK1	0.000030	5594
AGTR1	0.000030	185
KDR	0.000030	3791
PARP1	0.000030	142
NUDT2	0.000030	318
DTNB	0.000030	1838
F10	0.000030	2159
RYR3	0.000030	6263
KIT	0.000030	3815
CCL4	0.000030	6351
CSF2	0.000030	1437
BAZ2B	0.000030	29994
JUN	0.000030	3725
CSNK2A3	0.000030	283106
AQP1	0.000030	358
FGFR3	0.000030	2261
AVPR1A	0.000030	552
HMGCR	0.000030	3156
KDM4A	0.000030	9682
CD274	0.000030	29126
IGF1R	0.000030	3480
MDM2	0.000030	4193
TERT	0.000030	7015
EGFR	0.000030	1956
FEN1	0.000030	2237
SMN2	0.000030	6607
CTRB1	0.000030	1504
CCR3	0.000030	1232
SLC10A2	0.000030	6555
VWF	0.000030	7450
MAPK12	0.000030	6300
TUBA1B	0.000030	10376
ANGPT2	0.000030	285
HRAS	0.000030	3265
MRPL36	0.000030	64979
ADRA1D	0.000030	146
COX8A	0.000030	1351
BTK	0.000030	695
RARG	0.000030	5916
PIK3R6	0.000030	146850
KAT2A	0.000030	2648
GCNT2	0.000030	2651
PAK4	0.000030	10298
ERBB2	0.000030	2064
ASAH1	0.000030	427
GRIN2D	0.000030	2906
EDN1	0.000030	1906
KLK3	0.000030	354
PPARD	0.000030	5467
MAP2K1	0.000030	5604
CRHR2	0.000030	1395
CD8B	0.000030	926
MAP2K2	0.000030	5605
FPR1	0.000030	2357
CFTR	0.000030	1080
PTK2B	0.000030	2185
C10orf67	0.000030	256815
PIK3R5	0.000030	23533
GBA1	0.000030	2629
PRIMPOL	0.000030	201973
PPP2R2A	0.000030	5520
HOXD9	0.000030	3235
FTH1P21	0.000030	2510
SNX9	0.000030	51429
TMEM43	0.000030	79188
FYB1	0.000030	2533
SLC39A8	0.000030	64116
GAPVD1	0.000030	26130
MMP21	0.000030	118856
MAP3K2	0.000030	10746
LYVE1	0.000030	10894
KLK2	0.000030	3817
AKR1C2	0.000030	1646
CUX2	0.000030	23316
KCNE2	0.000030	9992
HOMER1	0.000030	9456
STN1	0.000030	79991
PLEKHA6	0.000030	22874
CIP2A	0.000030	57650
ATG16L1	0.000030	55054
IL17RC	0.000030	84818
ARAP1	0.000030	116985
RABGAP1L	0.000030	9910
EMSY	0.000030	56946
CCNY	0.000030	219771
NTF4	0.000030	4909
MAZ	0.000030	4150
STK32B	0.000030	55351
SLC34A2	0.000030	10568
SRGN	0.000030	5552
HSPB6	0.000030	126393
PNPT1	0.000030	87178
NHLH1	0.000030	4807
TIE1	0.000030	7075
PCGF3	0.000030	10336
GPS1	0.000030	2873
ARHGAP35	0.000030	2909
RTKN2	0.000030	219790
TXNIP	0.000030	10628
STAR	0.000030	6770
EDN3	0.000030	1908
PIK3CA	0.000030	5290
SLC6A11	0.000030	6538
LCT	0.000030	3938
M6PR	0.000030	4074
RNF43	0.000030	54894
SLC5A5	0.000030	6528
GPR139	0.000030	124274
NCK1	0.000030	4690
ORMDL3	0.000030	94103
STAT3	0.000030	6774
KNG1	0.000030	3827
NUDT1	0.000030	4521
MED12L	0.000030	116931
TBX2	0.000030	6909
RARS1	0.000030	5917
BST1	0.000030	683
FOXF2	0.000030	2295
THSD7B	0.000030	80731
ITPKC	0.000030	80271
GNE	0.000030	10020
UCP3	0.000030	7352
TNK1	0.000030	8711
NKX6-1	0.000030	4825
TK2	0.000030	7084
GANAB	0.000030	23193
EIF2AK1	0.000030	27102
SPARC	0.000030	6678
IL10RA	0.000030	3587
PHETA2	0.000030	150368
KHK	0.000030	3795
S100A8	0.000030	6279
NAPRT	0.000030	93100
DMBT1	0.000030	1755
GAB1	0.000030	2549
FTH1P3	0.000030	2498
DLD	0.000030	1738
BTF3	0.000030	689
KLF9	0.000030	687
DMXL1	0.000030	1657
PAX5	0.000030	5079
GSKIP	0.000030	51527
PTPN4	0.000030	5775
CRTAP	0.000030	10491
DPH1	0.000030	1801
CDKN2A	0.000030	1029
ABCA3	0.000030	21
KLF5	0.000030	688
DXO	0.000030	1797
CBLN1	0.000030	869
CASP7	0.000030	840
ADCYAP1	0.000030	116
NRAS	0.000030	4893
KRAS	0.000030	3845
APOF	0.000030	319
CSTF3	0.000030	1479
DPYS	0.000030	1807
RRM1	0.000030	6240
GRIN2C	0.000030	2905
SLC29A1	0.000030	2030
F2R	0.000030	2149
GRIN1	0.000030	2902
ADGRL3	0.000030	23284
CTSC	0.000030	1075
PTPRS	0.000030	5802
TUBB4B	0.000030	10383
CAV1	0.000030	857
ADM	0.000030	133
TSHR	0.000030	7253
SIRT3	0.000030	23410
PTAFR	0.000030	5724
GHSR	0.000030	2693
MUC1	0.000030	4582
NQO1	0.000030	1728
PARP2	0.000030	10038
HPGD	0.000030	3248
H2AZ1	0.000030	3015
IL13	0.000030	3596
NOS2	0.000030	4843
G6PD	0.000030	2539
CACNG7	0.000030	59284
SSTR5	0.000030	6755
FLT4	0.000030	2324
GRIN3A	0.000030	116443
GAPDH	0.000030	2597
RACGAP1	0.000030	29127
TUBB8	0.000030	347688
P2RY12	0.000030	64805
BBS4	0.000030	585
GRID1	0.000030	2894
DCX	0.000030	1641
PROX1	0.000030	5629
OR2B11	0.000030	127623
SEMA6A	0.000030	57556
IKZF3	0.000030	22806
PAPLN	0.000030	89932
UBR1	0.000030	197131
TRPC1	0.000030	7220
GPRC5D	0.000030	55507
SPTSSB	0.000030	165679
GPS2	0.000030	2874
HOXB2	0.000030	3212
GSPT1	0.000030	2935
EFNA5	0.000030	1946
HSPB1	0.000030	3315
KDM4C	0.000030	23081
GNRHR	0.000030	2798
FANCC	0.000030	2176
JAK1	0.000030	3716
MAOB	0.000030	4129
EEF1D	0.000030	1936
IL23A	0.000030	51561
HSP90AB1	0.000030	3326
TOP1	0.000030	7150
C4BPAP2	0.000030	724
EYA4	0.000030	2070
CACNB1	0.000030	782
SIRT1	0.000030	23411
KCNN2	0.000030	3781
RAB9A	0.000030	9367
EFR3A	0.000030	23167
WBP2NL	0.000030	164684
MITF	0.000030	4286
MSTN	0.000030	2660
OPRM1	0.000030	4988
NDUFS7	0.000030	374291
ILF3	0.000030	3609
CPN2	0.000030	1370
FOXP3	0.000030	50943
CSK	0.000030	1445
DDHD1	0.000030	80821
CRYZP1	0.000030	1430
IRF3	0.000030	3661
SLC38A1	0.000030	81539
RRAS2	0.000030	22800
SRR	0.000030	63826
UBA1	0.000030	7317
TRX-CAT1-2	0.000030	7210
VIPR2	0.000030	7434
CRYGC	0.000030	1420
HOXC6	0.000030	3223
FOXG1	0.000030	2290
NIM1K	0.000030	167359
SLC47A2	0.000030	146802
GRB7	0.000030	2886
MAP3K1	0.000030	4214
ADAR	0.000030	103
BIK	0.000030	638
PDYN	0.000030	5173
HSD17B3	0.000030	3293
CYBB	0.000030	1536
TYK2	0.000030	7297
RPL7A	0.000030	6130
SENP8	0.000030	123228
CDK14	0.000030	5218
CDK13	0.000030	8621
PDE1C	0.000030	5137
PDE6G	0.000030	5148
PDE6C	0.000030	5146
CFB	0.000030	629
GPNMB	0.000030	10457
RXRA	0.000030	6256
MAD1L1	0.000030	8379
MGMT	0.000030	4255
PON1	0.000030	5444
CST4	0.000030	1472
HINT1	0.000030	3094
GFRA1	0.000030	2674
ANK3	0.000030	288
SACM1L	0.000030	22908
LST1	0.000030	7940
SYNE3	0.000030	161176
RGS17	0.000030	26575
TTK	0.000030	7272
SORCS2	0.000030	57537
NUP153	0.000030	9972
ZNF423	0.000030	23090
SRSF2	0.000030	6427
TFPI2	0.000030	7980
SOCS1	0.000030	8651
SLC2A5	0.000030	6518
PPP1R1B	0.000030	84152
PPIB	0.000030	5479
PAX2	0.000030	5076
DOCK10	0.000030	55619
DFFB	0.000030	1677
MLST8	0.000030	64223
CTNNA3	0.000030	29119
CES1P1	0.000030	51716
STRBP	0.000030	55342
CAPN10	0.000030	11132
PIK3C3	0.000030	5289
ALDOC	0.000030	230
ALDOB	0.000030	229
DSC2	0.000030	1824
TSC22D3	0.000030	1831
CYP2D7BP	0.000030	1566
CASP5	0.000030	838
DBN1	0.000030	1627
MEGF6	0.000030	1953
AMFR	0.000030	267
CSRP2P1	0.000030	1467
GAPDHP69	0.000030	2611
DDX5	0.000030	1655
RARRES1	0.000030	5918
CD247	0.000030	919
IPO13	0.000030	9670
INSRR	0.000030	3645
PLK2	0.000030	10769
OPN1LW	0.000030	5956
PIPSL	0.000030	266971
NUMA1	0.000030	4926
IGFBP5	0.000030	3488
ATP5PF	0.000030	522
FBN1	0.000030	2200
GNG7	0.000030	2788
SVEP1	0.000030	79987
GPR20	0.000030	2843
TBX21	0.000030	30009
TLK2	0.000030	11011
CERKL	0.000030	375298
BHMT	0.000030	635
PDE6A	0.000030	5145
STIM1	0.000030	6786
MIA	0.000030	8190
TTN	0.000030	7273
FKBP1B	0.000030	2281
CDH12	0.000030	1010
GJA8	0.000030	2703
ADGRB1	0.000030	575
DSG3	0.000030	1830
PSME4	0.000030	23198
KCNMB2	0.000030	10242
CRISPLD2	0.000030	83716
KIR2DS4	0.000030	3809
TNFAIP3	0.000030	7128
FGFR3P1	0.000030	100462812
ACSS2	0.000030	55902
MTHFD1	0.000030	4522
PFDN4	0.000030	5203
ZRSR2	0.000030	8233
YY1	0.000030	7528
TCN1	0.000030	6947
SNW1	0.000030	22938
NPTN	0.000030	27020
MXI1	0.000030	4601
CPSF3	0.000030	51692
KMT2D	0.000030	8085
ITGA5	0.000030	3678
SYNE2	0.000030	23224
AP1B1	0.000030	162
GYS2	0.000030	2998
SEPTIN7	0.000030	989
MMP16	0.000030	4325
FTCDNL1	0.000030	348751
C8orf34	0.000030	116328
N6AMT1	0.000030	29104
FGF14	0.000030	2259
SULT1E1	0.000030	6783
PRPF31	0.000030	26121
STX1B	0.000030	112755
FGD4	0.000030	121512
ST13	0.000030	6767
SLAMF6	0.000030	114836
SCG5	0.000030	6447
NR6A1	0.000030	2649
NCF1	0.000030	653361
MSR1	0.000030	4481
IFIT2	0.000030	3433
ICAM2	0.000030	3384
CD163	0.000030	9332
UMOD	0.000030	7369
IL1RN	0.000030	3557
FMO2	0.000030	2327
SERPINB1	0.000030	1992
BNIP3L	0.000030	665
IL15RA	0.000030	3601
GUCA1A	0.000030	2978
SLC2A3	0.000030	6515
ATN1	0.000030	1822
EDAR	0.000030	10913
COX10	0.000030	1352
DDX6	0.000030	1656
CCT3	0.000030	7203
NCL	0.000030	4691
HSP90B1	0.000030	7184
GLRA3	0.000030	8001
PTMA	0.000030	5757
EIF5A	0.000030	1984
SCN4B	0.000030	6330
NOX3	0.000030	50508
PADI3	0.000030	51702
YWHAG	0.000030	7532
HNF1B	0.000030	6928
PSMD10P2	0.000030	280644
SETD7	0.000030	80854
KISS1R	0.000030	84634
CDC25A	0.000030	993
DHX36	0.000030	170506
IL33	0.000030	90865
E2F8	0.000030	79733
RPS29	0.000030	6235
NOTCH3	0.000030	4854
FDFT1	0.000030	2222
MAP3K12	0.000030	7786
PDE6D	0.000030	5147
VIPR1	0.000030	7433
ADIPOQ	0.000030	9370
CD63	0.000030	967
RCSD1	0.000030	92241
